Kollokator,Freq,Freq_Koll,PMI,t-Score,G2,MI3
mühsam,2,9,8.0439,1.4089,18.7975,10.0439
geschlecht,2,9,8.0439,1.4089,18.7975,10.0439
parlamente,2,9,8.0439,1.4089,18.7975,10.0439
abzunehmen,2,9,8.0439,1.4089,18.7975,10.0439
stinkt,2,9,8.0439,1.4089,18.7975,10.0439
geige,2,9,8.0439,1.4089,18.7975,10.0439
wandert,2,9,8.0439,1.4089,18.7975,10.0439
friedhof,2,9,8.0439,1.4089,18.7975,10.0439
anstrich,2,9,8.0439,1.4089,18.7975,10.0439
geistlichkeit,2,9,8.0439,1.4089,18.7975,10.0439
fum,2,9,8.0439,1.4089,18.7975,10.0439
arbeiteten,2,9,8.0439,1.4089,18.7975,10.0439
einsichtigen,2,9,8.0439,1.4089,18.7975,10.0439
knechte,2,9,8.0439,1.4089,18.7975,10.0439
anklagebank,2,9,8.0439,1.4089,18.7975,10.0439
oberste,2,9,8.0439,1.4089,18.7975,10.0439
polnische,2,9,8.0439,1.4089,18.7975,10.0439
gemeinschaft,3,60,5.8919,1.7029,18.7559,9.0618
zusammen,4,178,4.7381,1.9251,18.6634,8.7381
persönlichen,3,61,5.8681,1.7024,18.6559,9.038
roggen,4,180,4.722,1.9242,18.5763,8.722
feinem,3,62,5.8446,1.7019,18.5575,9.0145
nabrücker,3,63,5.8215,1.7014,18.4608,8.9914
wissen,6,617,3.5297,2.2374,18.4592,8.6996
erste,4,184,4.6903,1.9225,18.4053,8.6903
vertreter,4,184,4.6903,1.9225,18.4053,8.6903
erfolge,3,64,5.7988,1.7009,18.3657,8.9687
befinden,3,64,5.7988,1.7009,18.3657,8.9687
auserwählten,2,10,7.8919,1.4083,18.3258,9.8919
feiertage,2,10,7.8919,1.4083,18.3258,9.8919
wegung,2,10,7.8919,1.4083,18.3258,9.8919
gefährlicher,2,10,7.8919,1.4083,18.3258,9.8919
oberbür,2,10,7.8919,1.4083,18.3258,9.8919
gebahren,2,10,7.8919,1.4083,18.3258,9.8919
schiebungen,2,10,7.8919,1.4083,18.3258,9.8919
abhalten,2,10,7.8919,1.4083,18.3258,9.8919
best,2,10,7.8919,1.4083,18.3258,9.8919
werkzeug,2,10,7.8919,1.4083,18.3258,9.8919
geschenkt,2,10,7.8919,1.4083,18.3258,9.8919
aufgeklärt,2,10,7.8919,1.4083,18.3258,9.8919
galizien,2,10,7.8919,1.4083,18.3258,9.8919
donau,2,10,7.8919,1.4083,18.3258,9.8919
haltet,2,10,7.8919,1.4083,18.3258,9.8919
belegen,2,10,7.8919,1.4083,18.3258,9.8919
marxist,2,10,7.8919,1.4083,18.3258,9.8919
jeweilige,2,10,7.8919,1.4083,18.3258,9.8919
eingeständnis,2,10,7.8919,1.4083,18.3258,9.8919
gott,4,186,4.6747,1.9217,18.3212,8.6747
front,3,65,5.7764,1.7005,18.2721,8.9464
keit,3,65,5.7764,1.7005,18.2721,8.9464
tat,4,189,4.6516,1.9204,18.1969,8.6516
mus,3,66,5.7544,1.7,18.18,8.9243
erhalten,5,384,3.9508,2.0915,18.0977,8.5947
inhaber,3,67,5.7327,1.6995,18.0894,8.9026
denken,4,192,4.6289,1.9192,18.0746,8.6289
besten,4,193,4.6214,1.9187,18.0343,8.6214
erledigt,3,68,5.7113,1.699,18.0002,8.8813
fragen,4,194,4.6139,1.9183,17.9942,8.6139
mag,4,195,4.6065,1.9179,17.9543,8.6065
berichtet,3,69,5.6903,1.6985,17.9123,8.8602
palästina,2,11,7.7544,1.4077,17.9045,9.7544
mant,2,11,7.7544,1.4077,17.9045,9.7544
schie,2,11,7.7544,1.4077,17.9045,9.7544
site,2,11,7.7544,1.4077,17.9045,9.7544
siss,2,11,7.7544,1.4077,17.9045,9.7544
profit,2,11,7.7544,1.4077,17.9045,9.7544
verstande,2,11,7.7544,1.4077,17.9045,9.7544
verschlossenen,2,11,7.7544,1.4077,17.9045,9.7544
niederlage,2,11,7.7544,1.4077,17.9045,9.7544
gelitten,2,11,7.7544,1.4077,17.9045,9.7544
netheim,2,11,7.7544,1.4077,17.9045,9.7544
herkommen,2,11,7.7544,1.4077,17.9045,9.7544
sache,5,392,3.9211,2.0885,17.9036,8.5649
nachdem,4,198,4.5845,1.9166,17.8359,8.5845
markt,3,70,5.6695,1.698,17.8257,8.8394
tisch,3,70,5.6695,1.698,17.8257,8.8394
einzig,3,70,5.6695,1.698,17.8257,8.8394
bewilligt,3,70,5.6695,1.698,17.8257,8.8394
wahren,3,70,5.6695,1.698,17.8257,8.8394
fremden,3,70,5.6695,1.698,17.8257,8.8394
dev,3,70,5.6695,1.698,17.8257,8.8394
erkennen,3,70,5.6695,1.698,17.8257,8.8394
tagen,4,200,4.57,1.9158,17.7581,8.57
versuch,3,71,5.6491,1.6975,17.7404,8.819
sogenannten,3,72,5.6289,1.697,17.6564,8.7988
vormittag,2,12,7.6289,1.4071,17.5238,9.6289
trieben,2,12,7.6289,1.4071,17.5238,9.6289
wirtschaftsleben,2,12,7.6289,1.4071,17.5238,9.6289
trennung,2,12,7.6289,1.4071,17.5238,9.6289
schweinerei,2,12,7.6289,1.4071,17.5238,9.6289
erei,2,12,7.6289,1.4071,17.5238,9.6289
deutschtum,2,12,7.6289,1.4071,17.5238,9.6289
dokument,2,12,7.6289,1.4071,17.5238,9.6289
drahtzieher,2,12,7.6289,1.4071,17.5238,9.6289
vonr,2,12,7.6289,1.4071,17.5238,9.6289
unverfrorenheit,2,12,7.6289,1.4071,17.5238,9.6289
wallstreet,2,12,7.6289,1.4071,17.5238,9.6289
deffentlichfeit,2,12,7.6289,1.4071,17.5238,9.6289
diefer,3,74,5.5893,1.6961,17.4919,8.7593
sicht,3,74,5.5893,1.6961,17.4919,8.7593
fam,3,74,5.5893,1.6961,17.4919,8.7593
zinsen,3,74,5.5893,1.6961,17.4919,8.7593
wen,3,74,5.5893,1.6961,17.4919,8.7593
gutes,3,75,5.57,1.6956,17.4113,8.7399
erhielt,3,75,5.57,1.6956,17.4113,8.7399
neuen,5,415,3.8388,2.0798,17.3686,8.4827
geblieben,3,76,5.5509,1.6951,17.3319,8.7208
magistrat,5,417,3.8319,2.079,17.3236,8.4757
absolut,3,77,5.532,1.6946,17.2536,8.7019
etwa,5,423,3.8113,2.0768,17.1899,8.4551
schimpfen,2,13,7.5134,1.4065,17.1765,9.5134
element,2,13,7.5134,1.4065,17.1765,9.5134
freundlich,2,13,7.5134,1.4065,17.1765,9.5134
christus,2,13,7.5134,1.4065,17.1765,9.5134
goldes,2,13,7.5134,1.4065,17.1765,9.5134
menschenrechte,2,13,7.5134,1.4065,17.1765,9.5134
winter,3,78,5.5134,1.6941,17.1763,8.6833
tie,4,217,4.4523,1.9086,17.1277,8.4523
darauf,5,426,3.8011,2.0756,17.1239,8.4449
lung,3,79,5.495,1.6936,17.1001,8.6649
bauer,3,79,5.495,1.6936,17.1001,8.6649
hen,4,219,4.439,1.9078,17.057,8.439
dienen,3,80,5.4769,1.6932,17.0248,8.6468
bewusst,3,80,5.4769,1.6932,17.0248,8.6468
rolle,3,81,5.4589,1.6927,16.9506,8.6289
ven,4,223,4.4129,1.9061,16.9176,8.4129
staates,3,82,5.4412,1.6922,16.8772,8.6112
finanzpolitik,2,14,7.4065,1.4059,16.8573,9.4065
marxistische,2,14,7.4065,1.4059,16.8573,9.4065
gliedern,2,14,7.4065,1.4059,16.8573,9.4065
heimstätten,2,14,7.4065,1.4059,16.8573,9.4065
typisch,2,14,7.4065,1.4059,16.8573,9.4065
läge,2,14,7.4065,1.4059,16.8573,9.4065
dorlars,2,14,7.4065,1.4059,16.8573,9.4065
manu,2,14,7.4065,1.4059,16.8573,9.4065
verlogenheit,2,14,7.4065,1.4059,16.8573,9.4065
judenpresse,2,14,7.4065,1.4059,16.8573,9.4065
flagge,2,14,7.4065,1.4059,16.8573,9.4065
spiele,2,14,7.4065,1.4059,16.8573,9.4065
kaum,4,226,4.3937,1.9049,16.8148,8.3937
langsam,3,83,5.4238,1.6917,16.8048,8.5937
revolution,3,84,5.4065,1.6912,16.7333,8.5764
freude,3,85,5.3894,1.6907,16.6627,8.5593
handelt,4,231,4.3621,1.9027,16.6466,8.3621
arbeiten,4,232,4.3559,1.9023,16.6134,8.3559
nummer,4,232,4.3559,1.9023,16.6134,8.3559
frage,5,450,3.722,2.0666,16.613,8.3658
gaben,3,86,5.3725,1.6902,16.593,8.5425
stelle,5,451,3.7188,2.0662,16.5924,8.3626
erfennen,2,15,7.3069,1.4053,16.562,9.3069
inseraten,2,15,7.3069,1.4053,16.562,9.3069
erwerbs,2,15,7.3069,1.4053,16.562,9.3069
tieren,2,15,7.3069,1.4053,16.562,9.3069
falscher,2,15,7.3069,1.4053,16.562,9.3069
entfernung,2,15,7.3069,1.4053,16.562,9.3069
lord,2,15,7.3069,1.4053,16.562,9.3069
schollmeyer,2,15,7.3069,1.4053,16.562,9.3069
geführten,2,15,7.3069,1.4053,16.562,9.3069
scha,2,15,7.3069,1.4053,16.562,9.3069
bewussten,2,15,7.3069,1.4053,16.562,9.3069
weih,2,15,7.3069,1.4053,16.562,9.3069
maul,2,15,7.3069,1.4053,16.562,9.3069
bedarf,3,87,5.3559,1.6898,16.524,8.5258
handel,3,88,5.3394,1.6893,16.456,8.5093
tage,5,459,3.6934,2.0632,16.429,8.3373
brauchen,3,89,5.3231,1.6888,16.3887,8.493
sogar,4,239,4.313,1.8994,16.3853,8.313
polnischen,2,16,7.2138,1.4047,16.2873,9.2138
urheber,2,16,7.2138,1.4047,16.2873,9.2138
hatry,2,16,7.2138,1.4047,16.2873,9.2138
tete,2,16,7.2138,1.4047,16.2873,9.2138
schriftsteller,2,16,7.2138,1.4047,16.2873,9.2138
erworben,2,16,7.2138,1.4047,16.2873,9.2138
bewegen,2,16,7.2138,1.4047,16.2873,9.2138
fälschung,2,16,7.2138,1.4047,16.2873,9.2138
grüne,2,16,7.2138,1.4047,16.2873,9.2138
thalheim,2,16,7.2138,1.4047,16.2873,9.2138
betrüger,2,16,7.2138,1.4047,16.2873,9.2138
