year,ngram,n,abs,per_million,seed_terms,category
1929,jüdisch machenschaft,2,2,16.19,jüdisch,Ethnisierung
1929,machenschaft jude,2,2,16.19,jude,Ethnisierung
1929,nation rasse,2,2,16.19,rasse,NS-Terminologie
1929,lieb jude,2,2,16.19,jude,Ethnisierung
1929,jude billig,2,2,16.19,jude,Ethnisierung
1929,nationalsozialistisch bewegung,2,2,16.19,nationalsozialistisch,NS-Terminologie
1929,sitz jüdisch,2,2,16.19,jüdisch,Ethnisierung
1929,jüdisch finanzmachtzentrum,2,2,16.19,jüdisch,Ethnisierung
1929,saugprozeß völkisch,2,2,16.19,völkisch,NS-Terminologie
1929,völkisch verteidigungskrieg,2,2,16.19,völkisch,NS-Terminologie
1929,hälfte jüdisch,2,2,16.19,jüdisch,Ethnisierung
1929,jüdisch besetzt,2,2,16.19,jüdisch,Ethnisierung
1929,vorzugsbehandlung jude,2,2,16.19,jude,Ethnisierung
1929,jude hervor,2,2,16.19,jude,Ethnisierung
1929,ueberfälle nationalsozialist,2,2,16.19,nationalsozialist,NS-Terminologie
1929,nationalsozialist wissen,2,2,16.19,nationalsozialist,NS-Terminologie
1929,nationalsozialist verletzen,2,2,16.19,nationalsozialist,NS-Terminologie
1929,auslande jüdisch,2,2,16.19,jüdisch,Ethnisierung
1929,herausgeben jude,2,2,16.19,jude,Ethnisierung
1929,jude karl,2,2,16.19,jude,Ethnisierung
1929,politik jude,2,2,16.19,jude,Ethnisierung
1929,überfall nationalsozialist,2,2,16.19,nationalsozialist,NS-Terminologie
1929,nationalsozialist stahlheimer,2,2,16.19,nationalsozialist,NS-Terminologie
1929,vaterland jude,2,2,16.19,jude,Ethnisierung
1929,jude fertig,2,2,16.19,jude,Ethnisierung
1929,schutztruppe jüdisch,2,2,16.19,jüdisch,Ethnisierung
1929,jüdisch sklavenhaltertum,2,2,16.19,jüdisch,Ethnisierung
1929,rassisch zusammensetzung,2,2,16.19,rassisch,NS-Terminologie
1929,überfall nationalsozialistisch,2,2,16.19,nationalsozialistisch,NS-Terminologie
1929,nationalsozialistisch arbeiterfäust,2,2,16.19,nationalsozialistisch,NS-Terminologie
1929,massenversammlung nationalsozialist,2,2,16.19,nationalsozialist,NS-Terminologie
1929,nationalsozialist berlin,2,2,16.19,nationalsozialist,NS-Terminologie
1929,berlin nationalsozialistisch,2,2,16.19,nationalsozialistisch,NS-Terminologie
1929,nationalsozialistisch abgeordneter,2,2,16.19,nationalsozialistisch,NS-Terminologie
1929,verhaftet nationalsozialist,2,2,16.19,nationalsozialist,NS-Terminologie
1929,nationalsozialist nehmen,2,2,16.19,nationalsozialist,NS-Terminologie
1929,böse nationalsozialist,2,2,16.19,nationalsozialist,NS-Terminologie
1929,nationalsozialistisch versammlung,2,2,16.19,nationalsozialistisch,NS-Terminologie
1929,innigstgeliebten nationalsozialistisch,2,2,16.19,nationalsozialistisch,NS-Terminologie
1929,jude grund,2,2,16.19,jude,Ethnisierung
1929,rahmen jüdisch,2,2,16.19,jüdisch,Ethnisierung
1929,jüdisch hetze,2,2,16.19,jüdisch,Ethnisierung
1929,verherrlichung jüdisch,2,2,16.19,jüdisch,Ethnisierung
1929,jüdisch zersetzungsarbeit,2,2,16.19,jüdisch,Ethnisierung
1929,jude glauben,2,2,16.19,jude,Ethnisierung
1929,geschäft jude,2,2,16.19,jude,Ethnisierung
1929,offizier jüdisch,2,2,16.19,jüdisch,Ethnisierung
1929,herr jude,2,2,16.19,jude,Ethnisierung
1929,nationalsozialistisch wahlerfolg,2,2,16.19,nationalsozialistisch,NS-Terminologie
1929,besucht nationalsozialistisch,2,2,16.19,nationalsozialistisch,NS-Terminologie
1929,angabe nationalsozialist,2,2,16.19,nationalsozialist,NS-Terminologie
1929,nationalsozialist innerhalb,2,2,16.19,nationalsozialist,NS-Terminologie
1929,festhalten nationalsozialist,2,2,16.19,nationalsozialist,NS-Terminologie
1929,genau jude,2,2,16.19,jude,Ethnisierung
1929,nationalsozialist maulhelde,2,2,16.19,nationalsozialist,NS-Terminologie
1929,verteidigungsredner jüdisch,2,2,16.19,jüdisch,Ethnisierung
1929,jüdisch verbrechervolk,2,2,16.19,jüdisch,Ethnisierung
1929,sittlichkeitsmörder völkisch,2,2,16.19,völkisch,NS-Terminologie
1929,völkisch femeverbrech,2,2,16.19,völkisch,NS-Terminologie
1929,hitler fortsetzen,2,2,16.19,hitler,NS-Terminologie
1929,gehen jude,2,2,16.19,jude,Ethnisierung
1929,flugblatt nationalsozialist,2,2,16.19,nationalsozialist,NS-Terminologie
1929,jüdisch charakter,2,2,16.19,jüdisch,Ethnisierung
1929,jüdisch feiertag,2,2,16.19,jüdisch,Ethnisierung
1929,landesführer stahlhelm,2,2,16.19,stahlhelm,NS-Terminologie
1929,profitgier jüdisch,2,2,16.19,jüdisch,Ethnisierung
1929,reichsfinanzminister jude,2,2,16.19,jude,Ethnisierung
1929,presse jüdisch,2,2,16.19,jüdisch,Ethnisierung
1929,jüdisch profitgier,2,2,16.19,jüdisch,Ethnisierung
1929,pressechef jude,2,2,16.19,jude,Ethnisierung
1929,jude jüdisch,2,2,16.19,"jude, jüdisch",Ethnisierung
1929,öffentlich schädlinge,2,2,16.19,schädlinge,Dehumanisierung
1929,hitler sprechen,2,2,16.19,hitler,NS-Terminologie
1929,führen jude,2,2,16.19,jude,Ethnisierung
1929,jude sämtlich,2,2,16.19,jude,Ethnisierung
1929,sehen jüdisch,2,2,16.19,jüdisch,Ethnisierung
1929,grund jude,2,2,16.19,jude,Ethnisierung
1929,vernichten jude,2,2,16.19,jude,Ethnisierung
1929,disziplin nationalsozialist,2,2,16.19,nationalsozialist,NS-Terminologie
1929,jude führung,2,2,16.19,jude,Ethnisierung
1929,jüdisch geist,2,2,16.19,jüdisch,Ethnisierung
1929,jüdisch geld,2,2,16.19,jüdisch,Ethnisierung
1929,wirklichkeit jude,2,2,16.19,jude,Ethnisierung
1929,jude führen,2,2,16.19,jude,Ethnisierung
1929,göttlich jude,2,2,16.19,jude,Ethnisierung
1929,jude christ,2,2,16.19,jude,Ethnisierung
1929,schlagen jude,2,2,16.19,jude,Ethnisierung
1929,selbstverständlich jude,2,2,16.19,jude,Ethnisierung
1929,stehen jüdischer,2,2,16.19,jüdischer,Ethnisierung
1929,jüdisch christlich,2,2,16.19,jüdisch,Ethnisierung
1929,rasse gehören,2,1,8.1,rasse,NS-Terminologie
1929,jude edel,2,1,8.1,jude,Ethnisierung
1929,wochenschrift nationalsozialist,2,1,8.1,nationalsozialist,NS-Terminologie
1929,nationalsozialist hoffentlich,2,1,8.1,nationalsozialist,NS-Terminologie
1929,schaden jüdisch,2,1,8.1,jüdisch,Ethnisierung
1929,lediglich jüdisch,2,1,8.1,jüdisch,Ethnisierung
1929,zeigen rasse,2,1,8.1,rasse,NS-Terminologie
1929,jude gewiß,2,1,8.1,jude,Ethnisierung
1929,jüdisch nase,2,1,8.1,jüdisch,Ethnisierung
1929,lesen jude,2,1,8.1,jude,Ethnisierung
1929,umgeformt jüdisch,2,1,8.1,jüdisch,Ethnisierung
1929,nationalsozialist heran,2,1,8.1,nationalsozialist,NS-Terminologie
1929,methode jude,2,1,8.1,jude,Ethnisierung
1929,jude dauern,2,1,8.1,jude,Ethnisierung
1929,christlich jude,2,1,8.1,jude,Ethnisierung
1929,jude hausfrau,2,1,8.1,jude,Ethnisierung
1929,jüdischer rechtsanwalt,2,1,8.1,jüdischer,Ethnisierung
1929,jüdischer kaufmann,2,1,8.1,jüdischer,Ethnisierung
1929,jüdisch zeitung,2,1,8.1,jüdisch,Ethnisierung
1929,umgeformen jüdisch,2,1,8.1,jüdisch,Ethnisierung
1929,fortschritt jüdisch,2,1,8.1,jüdisch,Ethnisierung
1929,jüdisch name,2,1,8.1,jüdisch,Ethnisierung
1929,hahn jüdisch,2,1,8.1,jüdisch,Ethnisierung
1929,jüdisch schuhhaus,2,1,8.1,jüdisch,Ethnisierung
1929,leute jüdisch,2,1,8.1,jüdisch,Ethnisierung
1929,bekennen jüdisch,2,1,8.1,jüdisch,Ethnisierung
1929,minister verbrecher,2,1,8.1,verbrecher,Dehumanisierung
1929,feder jude,2,1,8.1,jude,Ethnisierung
1929,poesiealbum volksgenosse,2,1,8.1,volksgenosse,NS-Terminologie
1929,aufspürung verbrecher,2,1,8.1,verbrecher,Dehumanisierung
1929,verbrecher verwenden,2,1,8.1,verbrecher,Dehumanisierung
1929,hitlerbewegung kaufen,2,1,8.1,hitlerbewegung,NS-Terminologie
1929,arbeiterpartei hitlerbewegung,2,1,8.1,hitlerbewegung,NS-Terminologie
1929,osnabrück nationalsozialistisch,2,1,8.1,nationalsozialistisch,NS-Terminologie
1929,nationalsozialist öffentlich,2,1,8.1,nationalsozialist,NS-Terminologie
1929,bombenhetze nationalsozialist,2,1,8.1,nationalsozialist,NS-Terminologie
1929,jude klau,2,1,8.1,jude,Ethnisierung
1929,retten jude,2,1,8.1,jude,Ethnisierung
1929,versammlung nationalsozialist,2,1,8.1,nationalsozialist,NS-Terminologie
1929,bäcker jude,2,1,8.1,jude,Ethnisierung
1929,jude alfred,2,1,8.1,jude,Ethnisierung
1929,lässt jude,2,1,8.1,jude,Ethnisierung
1929,nationalsozialist bespitzelung,2,1,8.1,nationalsozialist,NS-Terminologie
1929,mark jude,2,1,8.1,jude,Ethnisierung
1929,betätigung nationalsozialistisch,2,1,8.1,nationalsozialistisch,NS-Terminologie
1929,volksgenosse genossin,2,1,8.1,volksgenosse,NS-Terminologie
1929,lieb volksgenosse,2,1,8.1,volksgenosse,NS-Terminologie
1929,nationalsozialist verehrt,2,1,8.1,nationalsozialist,NS-Terminologie
1929,volksgenosse gesinnung,2,1,8.1,volksgenosse,NS-Terminologie
1929,fabrikpreise jude,2,1,8.1,jude,Ethnisierung
1929,jude rosbach,2,1,8.1,jude,Ethnisierung
1929,verbrecher ungeheuerlich,2,1,8.1,verbrecher,Dehumanisierung
1929,zehntel jude,2,1,8.1,jude,Ethnisierung
1929,verbreiten nationalsozialist,2,1,8.1,nationalsozialist,NS-Terminologie
1929,jüdisch skrupellosigkeit,2,1,8.1,jüdisch,Ethnisierung
1929,jahrgang nationalsozialist,2,1,8.1,nationalsozialist,NS-Terminologie
1929,jude flathauer,2,1,8.1,jude,Ethnisierung
1929,jüdisch fall,2,1,8.1,jüdisch,Ethnisierung
1929,anfrager jude,2,1,8.1,jude,Ethnisierung
1929,ding jude,2,1,8.1,jude,Ethnisierung
1929,strafmandat verbrecher,2,1,8.1,verbrecher,Dehumanisierung
