transition,term,abs_a,abs_b,pmio_a,pmio_b,pmio_diff,g2,direction,rank_aufsteiger,rank_absteiger
1929→1930,november,50,140,404.87,525.84,120.97,-2.6204,Aufsteiger,2498,8087
1929→1930,fragen,64,174,518.24,653.55,135.31,-2.6073,Aufsteiger,2499,8086
1929→1930,weiß,18,59,145.75,221.61,75.86,-2.5971,Aufsteiger,2500,8085
1929→1930,feststellen,62,169,502.04,634.77,132.73,-2.5855,Aufsteiger,2501,8084
1929→1930,gedanke,40,115,323.9,431.94,108.04,-2.5713,Aufsteiger,2502,8083
1929→1930,beweis,36,105,291.51,394.38,102.87,-2.5675,Aufsteiger,2503,8082
1929→1930,begriff,25,77,202.44,289.21,86.77,-2.5441,Aufsteiger,2504,8080
1929→1930,senator,25,77,202.44,289.21,86.77,-2.5441,Aufsteiger,2504,8080
1929→1930,einverstanden,10,37,80.97,138.97,58.0,-2.5306,Aufsteiger,2506,8079
1929→1930,weichen,3,16,24.29,60.1,35.81,-2.5158,Aufsteiger,2507,8067
1929→1930,apotheker,3,16,24.29,60.1,35.81,-2.5158,Aufsteiger,2507,8067
1929→1930,anmeldung,3,16,24.29,60.1,35.81,-2.5158,Aufsteiger,2507,8067
1929→1930,abführen,3,16,24.29,60.1,35.81,-2.5158,Aufsteiger,2507,8067
1929→1930,nachdruck,3,16,24.29,60.1,35.81,-2.5158,Aufsteiger,2507,8067
1929→1930,bemerkbar,3,16,24.29,60.1,35.81,-2.5158,Aufsteiger,2507,8067
1929→1930,formal,3,16,24.29,60.1,35.81,-2.5158,Aufsteiger,2507,8067
1929→1930,europäisch,3,16,24.29,60.1,35.81,-2.5158,Aufsteiger,2507,8067
1929→1930,vermitteln,3,16,24.29,60.1,35.81,-2.5158,Aufsteiger,2507,8067
1929→1930,objekt,3,16,24.29,60.1,35.81,-2.5158,Aufsteiger,2507,8067
1929→1930,entschlossen,3,16,24.29,60.1,35.81,-2.5158,Aufsteiger,2507,8067
1929→1930,hinzu,3,16,24.29,60.1,35.81,-2.5158,Aufsteiger,2507,8067
