transition,term,abs_a,abs_b,pmio_a,pmio_b,pmio_diff,g2,direction,rank_aufsteiger,rank_absteiger
1929→1930,publikum,41,121,331.99,454.48,122.49,-3.173,Aufsteiger,2329,8256
1929→1930,somit,11,42,89.07,157.75,68.68,-3.1612,Aufsteiger,2330,8253
1929→1930,einbringen,11,42,89.07,157.75,68.68,-3.1612,Aufsteiger,2330,8253
1929→1930,freiwillig,11,42,89.07,157.75,68.68,-3.1612,Aufsteiger,2330,8253
1929→1930,börse,5,24,40.49,90.14,49.65,-3.1221,Aufsteiger,2333,8247
1929→1930,aufstellung,5,24,40.49,90.14,49.65,-3.1221,Aufsteiger,2333,8247
1929→1930,verantwortungslosigkeit,5,24,40.49,90.14,49.65,-3.1221,Aufsteiger,2333,8247
1929→1930,öfter,5,24,40.49,90.14,49.65,-3.1221,Aufsteiger,2333,8247
1929→1930,zeitpunkt,5,24,40.49,90.14,49.65,-3.1221,Aufsteiger,2333,8247
1929→1930,herabgesetzt,5,24,40.49,90.14,49.65,-3.1221,Aufsteiger,2333,8247
1929→1930,ergehen,10,39,80.97,146.48,65.51,-3.1203,Aufsteiger,2339,8246
1929→1930,fordern,52,148,421.07,555.89,134.82,-3.0991,Aufsteiger,2340,8245
1929→1930,sozialdemokratie,38,113,307.7,424.43,116.73,-3.0949,Aufsteiger,2341,8244
1929→1930,gegenwart,9,36,72.88,135.22,62.34,-3.088,Aufsteiger,2342,8242
1929→1930,lokal,9,36,72.88,135.22,62.34,-3.088,Aufsteiger,2342,8242
1929→1930,posten,40,118,323.9,443.21,119.31,-3.0869,Aufsteiger,2344,8241
1929→1930,unterer,6,27,48.58,101.41,52.83,-3.0761,Aufsteiger,2345,8237
1929→1930,unterlage,6,27,48.58,101.41,52.83,-3.0761,Aufsteiger,2345,8237
1929→1930,bezahlung,6,27,48.58,101.41,52.83,-3.0761,Aufsteiger,2345,8237
1929→1930,gläubiger,6,27,48.58,101.41,52.83,-3.0761,Aufsteiger,2345,8237
1929→1930,eindruck,18,61,145.75,229.12,83.37,-3.072,Aufsteiger,2349,8236
1929→1930,ersuchen,8,33,64.78,123.95,59.17,-3.0669,Aufsteiger,2350,8234
1929→1930,demnach,8,33,64.78,123.95,59.17,-3.0669,Aufsteiger,2350,8234
1929→1930,religiös,7,30,56.68,112.68,56.0,-3.0609,Aufsteiger,2352,8232
1929→1930,gedenken,7,30,56.68,112.68,56.0,-3.0609,Aufsteiger,2352,8232
1929→1930,erklären,120,311,971.69,1168.12,196.43,-3.0164,Aufsteiger,2354,8231
1929→1930,einwandfrei,13,47,105.27,176.53,71.26,-2.9832,Aufsteiger,2355,8230
1929→1930,laden,30,92,242.92,345.55,102.63,-2.9736,Aufsteiger,2356,8229
1929→1930,breit,25,79,202.44,296.73,94.29,-2.9564,Aufsteiger,2357,8228
1929→1930,sohn,32,97,259.12,364.33,105.21,-2.951,Aufsteiger,2358,8227
1929→1930,kommunalpolitisch,3,17,24.29,63.85,39.56,-2.9438,Aufsteiger,2359,8217
1929→1930,auskömmlich,3,17,24.29,63.85,39.56,-2.9438,Aufsteiger,2359,8217
1929→1930,protokoll,3,17,24.29,63.85,39.56,-2.9438,Aufsteiger,2359,8217
1929→1930,liegend,3,17,24.29,63.85,39.56,-2.9438,Aufsteiger,2359,8217
1929→1930,steuererhöhung,3,17,24.29,63.85,39.56,-2.9438,Aufsteiger,2359,8217
1929→1930,wirtschaftspolitik,3,17,24.29,63.85,39.56,-2.9438,Aufsteiger,2359,8217
1929→1930,dreimal,3,17,24.29,63.85,39.56,-2.9438,Aufsteiger,2359,8217
1929→1930,bestätigung,3,17,24.29,63.85,39.56,-2.9438,Aufsteiger,2359,8217
1929→1930,ansprechen,3,17,24.29,63.85,39.56,-2.9438,Aufsteiger,2359,8217
1929→1930,keinesfalls,3,17,24.29,63.85,39.56,-2.9438,Aufsteiger,2359,8217
1929→1930,weit,22,71,178.14,266.68,88.54,-2.9232,Aufsteiger,2369,8215
1929→1930,hugle,22,71,178.14,266.68,88.54,-2.9232,Aufsteiger,2369,8215
1929→1930,severing,19,63,153.85,236.63,82.78,-2.9092,Aufsteiger,2371,8214
1929→1930,ausüben,11,41,89.07,154.0,64.93,-2.8693,Aufsteiger,2372,8212
1929→1930,volksgenosse,11,41,89.07,154.0,64.93,-2.8693,Aufsteiger,2372,8212
1929→1930,reichsmark,31,94,251.02,353.07,102.05,-2.8647,Aufsteiger,2374,8211
1929→1930,wollen,15,52,121.46,195.31,73.85,-2.8518,Aufsteiger,2375,8210
1929→1930,beamter,151,382,1222.71,1434.8,212.09,-2.8353,Aufsteiger,2376,8209
1929→1930,juda,18,60,145.75,225.36,79.61,-2.8307,Aufsteiger,2377,8208
1929→1930,erneut,10,38,80.97,142.73,61.76,-2.82,Aufsteiger,2378,8207
1929→1930,abrechnung,4,20,32.39,75.12,42.73,-2.8102,Aufsteiger,2379,8202
1929→1930,wörtlich,4,20,32.39,75.12,42.73,-2.8102,Aufsteiger,2379,8202
1929→1930,maßlos,4,20,32.39,75.12,42.73,-2.8102,Aufsteiger,2379,8202
1929→1930,gefängnisstrafe,4,20,32.39,75.12,42.73,-2.8102,Aufsteiger,2379,8202
1929→1930,debatte,4,20,32.39,75.12,42.73,-2.8102,Aufsteiger,2379,8202
1929→1930,bürgervorsteher,70,190,566.82,713.64,146.82,-2.8096,Aufsteiger,2384,8201
1929→1930,ausführung,52,146,421.07,548.38,127.31,-2.7862,Aufsteiger,2385,8200
1929→1930,unmittelbar,14,49,113.36,184.05,70.69,-2.7818,Aufsteiger,2386,8199
1929→1930,katholik,9,35,72.88,131.46,58.58,-2.7777,Aufsteiger,2387,8198
1929→1930,legen,59,163,477.75,612.23,134.48,-2.7669,Aufsteiger,2388,8197
1929→1930,versammlung,32,96,259.12,360.58,101.46,-2.7615,Aufsteiger,2389,8196
1929→1930,grundsatz,20,65,161.95,244.14,82.19,-2.7593,Aufsteiger,2390,8195
1929→1930,feier,5,23,40.49,86.39,45.9,-2.7458,Aufsteiger,2391,8191
1929→1930,julius,5,23,40.49,86.39,45.9,-2.7458,Aufsteiger,2391,8191
1929→1930,geschick,5,23,40.49,86.39,45.9,-2.7458,Aufsteiger,2391,8191
1929→1930,bescheinigen,5,23,40.49,86.39,45.9,-2.7458,Aufsteiger,2391,8191
1929→1930,kragen,8,32,64.78,120.19,55.41,-2.7448,Aufsteiger,2395,8189
1929→1930,bedienen,8,32,64.78,120.19,55.41,-2.7448,Aufsteiger,2395,8189
1929→1930,unrichtig,2,13,16.19,48.83,32.64,-2.7248,Aufsteiger,2397,8167
1929→1930,unterredung,2,13,16.19,48.83,32.64,-2.7248,Aufsteiger,2397,8167
1929→1930,kläger,2,13,16.19,48.83,32.64,-2.7248,Aufsteiger,2397,8167
1929→1930,vorrätig,2,13,16.19,48.83,32.64,-2.7248,Aufsteiger,2397,8167
1929→1930,beschlagnahmt,2,13,16.19,48.83,32.64,-2.7248,Aufsteiger,2397,8167
1929→1930,zurücktreten,2,13,16.19,48.83,32.64,-2.7248,Aufsteiger,2397,8167
1929→1930,maurer,2,13,16.19,48.83,32.64,-2.7248,Aufsteiger,2397,8167
1929→1930,kahl,2,13,16.19,48.83,32.64,-2.7248,Aufsteiger,2397,8167
1929→1930,verdächtig,2,13,16.19,48.83,32.64,-2.7248,Aufsteiger,2397,8167
1929→1930,zeitgemäß,2,13,16.19,48.83,32.64,-2.7248,Aufsteiger,2397,8167
1929→1930,hitlerbewegung,2,13,16.19,48.83,32.64,-2.7248,Aufsteiger,2397,8167
1929→1930,belohnung,2,13,16.19,48.83,32.64,-2.7248,Aufsteiger,2397,8167
1929→1930,ablaufen,2,13,16.19,48.83,32.64,-2.7248,Aufsteiger,2397,8167
1929→1930,ausweg,2,13,16.19,48.83,32.64,-2.7248,Aufsteiger,2397,8167
1929→1930,haften,2,13,16.19,48.83,32.64,-2.7248,Aufsteiger,2397,8167
1929→1930,martinistr,2,13,16.19,48.83,32.64,-2.7248,Aufsteiger,2397,8167
1929→1930,ergänzung,2,13,16.19,48.83,32.64,-2.7248,Aufsteiger,2397,8167
1929→1930,vermindern,2,13,16.19,48.83,32.64,-2.7248,Aufsteiger,2397,8167
1929→1930,klärung,2,13,16.19,48.83,32.64,-2.7248,Aufsteiger,2397,8167
1929→1930,überraschung,2,13,16.19,48.83,32.64,-2.7248,Aufsteiger,2397,8167
1929→1930,menschenrecht,2,13,16.19,48.83,32.64,-2.7248,Aufsteiger,2397,8167
1929→1930,vorherig,2,13,16.19,48.83,32.64,-2.7248,Aufsteiger,2397,8167
1929→1930,arbeitend,6,26,48.58,97.66,49.08,-2.7221,Aufsteiger,2419,8163
1929→1930,kleidung,6,26,48.58,97.66,49.08,-2.7221,Aufsteiger,2419,8163
1929→1930,hauptsächlich,6,26,48.58,97.66,49.08,-2.7221,Aufsteiger,2419,8163
1929→1930,herauskommen,6,26,48.58,97.66,49.08,-2.7221,Aufsteiger,2419,8163
1929→1930,lauten,22,70,178.14,262.92,84.78,-2.7042,Aufsteiger,2423,8162
1929→1930,verlegenheit,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,worthalter,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,datum,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,stattgeben,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,unhold,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,erhebend,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,photograph,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,überfüllen,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,einlassen,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,telephonisch,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,theoretisch,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,maßanfertigung,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,entlasten,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,schriftstück,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,zumindest,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,sekt,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,dienststelle,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,mangels,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,teilhaber,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,landsberg,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,winkel,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,pfingst,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,verrucht,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,vierzehn,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,verunglimpfen,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,waschanstalt,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,enge,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,manch,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,meistern,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,befürchtung,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,schreibmaschine,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,operette,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,etatsjahr,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,wohlfahrt,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,bündnis,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,abfinden,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,fahrlässig,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,notabene,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,privatmann,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,widersetzen,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,zentrumsleute,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,begleitung,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,auftauchen,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,kleiden,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,untergeordnet,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,carmen,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,mühlenstr,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,festgelegt,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,menschenmenge,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,arthur,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,plump,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,witzig,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,überseeisch,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,befürworten,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,geneigen,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,drittstärk,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,zusammengenommen,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,stopfen,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,abrechnen,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,allemal,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,vorn,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,unzweifelhaft,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,logen,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,finanznot,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,fonds,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,eineinhalb,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,missbrauchen,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,volkswirtschaft,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,mithin,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,freudestrahlend,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,weltlich,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,überragend,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,symptom,1,9,8.1,33.8,25.7,-2.6562,Aufsteiger,2424,8089
1929→1930,gesicht,21,67,170.05,251.65,81.6,-2.6206,Aufsteiger,2497,8088
