scope,target,collocate,cofreq,freq_target,freq_collocate,n_total,ll,pmi
1930,judentum,national,6,132,108,266239,45.3408,6.808
1930,judentum,völkisch,4,132,23,266239,39.7618,8.4544
1930,judentum,christlich,6,132,226,266239,36.4128,5.7428
1930,judentum,wirken,5,132,104,266239,36.2745,6.5995
1930,judentum,zeitung,7,132,422,266239,36.0282,5.0642
1930,judentum,tatsache,6,132,274,266239,34.1188,5.4649
1930,judentum,zielenziger,3,132,10,266239,33.5143,9.241
1930,judentum,führen,6,132,338,266239,31.6352,5.1621
1931,jude,seite,60,403,393,132125,370.3575,5.6454
1931,jude,unglück,30,403,61,132125,265.4658,7.3331
1931,jude,jüdisch,38,403,222,132125,241.7087,5.8104
1931,jude,deutschland,43,403,361,132125,241.0033,5.2873
1931,jude,nichtjude,18,403,19,132125,201.5167,8.2789
1931,jude,deutsch,44,403,909,132125,167.1317,3.9882
1931,jude,hilfsverein,12,403,21,132125,110.7527,7.5496
1931,jude,christ,11,403,15,132125,110.3649,7.9094
1931,jude,osnabrück,27,403,524,132125,104.7529,4.0784
1931,jude,anständig,13,403,45,132125,97.1148,6.5655
1931,jude,page,15,403,83,132125,96.3078,5.8888
1931,jude,osten,9,403,11,132125,94.049,8.0674
1931,jude,bringen,20,403,296,132125,87.9112,4.4694
1931,jude,geld,18,403,217,132125,86.4219,4.7653
1931,jude,talmud,9,403,14,132125,86.2488,7.7195
1931,jude,herr,26,403,694,132125,84.95,3.6186
1931,jude,glauben,16,403,169,132125,81.0333,4.956
1931,jude,betrügen,9,403,28,132125,69.4169,6.7195
1931,jude,volk,18,403,364,132125,68.0295,4.019
1931,jude,rasse,8,403,19,132125,67.0424,7.109
1931,jüdisch,jude,38,222,403,132125,241.7087,5.8104
1931,jüdisch,volkstum,9,222,9,132125,115.3682,9.2171
1931,jüdisch,geist,12,222,46,132125,101.2949,7.2785
1931,jüdisch,deutsch,24,222,909,132125,90.21,3.974
1931,jüdisch,volk,16,222,364,132125,75.4377,4.7093
1931,jüdisch,liga,6,222,7,132125,71.0909,8.9947
1931,jüdisch,statistik,7,222,17,132125,66.664,7.937
1931,jüdisch,rituell,6,222,9,132125,65.3818,8.6322
1931,jüdisch,rasse,6,222,19,132125,53.1729,7.5542
1931,jüdisch,sozialist,4,222,4,132125,51.183,9.2171
1931,jüdisch,stehen,13,222,450,132125,50.4983,4.1038
1931,jüdisch,zeitung,9,222,144,132125,48.472,5.2171
1931,jüdisch,christlich,7,222,65,132125,45.439,6.0021
1931,jüdisch,leffer,4,222,6,132125,43.5514,8.6322
1931,jüdisch,schlachter,4,222,6,132125,43.5514,8.6322
1931,jüdisch,echt,7,222,76,132125,43.1691,5.7766
1931,jüdisch,gesetzbuch,4,222,7,132125,41.6322,8.4098
1931,jüdisch,tier,6,222,45,132125,41.6162,6.3102
1931,jüdisch,masse,6,222,53,132125,39.5472,6.0742
1931,jüdisch,glauben,8,222,169,132125,38.6124,4.8162
1931,judentum,nachfolgend,3,18,8,132125,43.3532,11.4266
1931,judentum,freitag,3,18,75,132125,28.7618,8.1978
1931,judentum,deutsch,5,18,909,132125,28.7271,5.3354
1931,judentum,deutschland,3,18,361,132125,19.3019,5.9307
