scope,target,collocate,cofreq,freq_target,freq_collocate,n_total,ll,pmi
1930,judentum,deutschland,9,132,570,266239,45.5865,4.9931
1930,judentum,jude,16,132,1125,266239,78.624,4.8423
1930,judentum,deutsch,15,132,1587,266239,61.7345,4.2528
1930,judentum,seite,7,132,849,266239,26.5845,4.0557
1931,jude,aruch,5,403,5,132125,57.9878,8.3569
1931,jude,nichtjude,18,403,19,132125,201.5167,8.2789
1931,jude,osten,9,403,11,132125,94.049,8.0674
1931,jude,christ,11,403,15,132125,110.3649,7.9094
1931,jude,wohltätig,5,403,7,132125,49.6241,7.8715
1931,jude,talmud,9,403,14,132125,86.2488,7.7195
1931,jude,rabbiner,5,403,8,132125,47.4209,7.6788
1931,jude,hilfsverein,12,403,21,132125,110.7527,7.5496
1931,jude,marx,7,403,13,132125,63.3091,7.4638
1931,jude,fikenscher,5,403,10,132125,44.155,7.3569
1931,jude,unglück,30,403,61,132125,265.4658,7.3331
1931,jude,rasse,8,403,19,132125,67.0424,7.109
1931,jude,betrügen,9,403,28,132125,69.4169,6.7195
1931,jude,sklarek,5,403,16,132125,38.1794,6.6788
1931,jude,pfarrer,7,403,24,132125,52.3453,6.5793
1931,jude,anständig,13,403,45,132125,97.1148,6.5655
1931,jude,sozialistisch,6,403,22,132125,43.9147,6.4824
1931,jude,leiten,5,403,20,132125,35.5849,6.3569
1931,jude,simoneit,5,403,21,132125,35.0316,6.2865
1931,jude,lüge,6,403,29,132125,40.1694,6.0839
1931,jüdisch,volkstum,9,222,9,132125,115.3682,9.2171
1931,jüdisch,liga,6,222,7,132125,71.0909,8.9947
1931,jüdisch,rituell,6,222,9,132125,65.3818,8.6322
1931,jüdisch,statistik,7,222,17,132125,66.664,7.937
1931,jüdisch,rasse,6,222,19,132125,53.1729,7.5542
1931,jüdisch,geist,12,222,46,132125,101.2949,7.2785
1931,jüdisch,wiederholt,5,222,27,132125,38.1989,6.7842
1931,jüdisch,erkenntnis,5,222,32,132125,36.3528,6.5391
1931,jüdisch,ändern,5,222,34,132125,35.7019,6.4516
1931,jüdisch,international,5,222,35,132125,35.392,6.4098
1931,jüdisch,tier,6,222,45,132125,41.6162,6.3102
1931,jüdisch,masse,6,222,53,132125,39.5472,6.0742
1931,jüdisch,christlich,7,222,65,132125,45.439,6.0021
1931,jüdisch,verband,5,222,48,132125,32.0652,5.9541
1931,jüdisch,jude,38,222,403,132125,241.7087,5.8104
1931,jüdisch,echt,7,222,76,132125,43.1691,5.7766
1931,jüdisch,kurz,6,222,75,132125,35.2397,5.5733
1931,jüdisch,zweck,5,222,68,132125,28.485,5.4516
1931,jüdisch,brief,6,222,84,132125,33.8551,5.4098
1931,jüdisch,heutig,7,222,105,132125,38.5503,5.3102
1931,judentum,deutsch,5,18,909,132125,28.7271,5.3354
