jahr,dateiname,anker,begriffe,zitat
1930,10. Ausgabe 1930.txt,Juden,geschäft,"Netheim wollen auch was verdienen. Wir jedenfalls gratulieren ihnen zu dem glatten Geschäft. Wer andern eine Grube gräbt... Daß die Juden durchaus nicht das Empfinden von einem Rückzug des „Stadt-Wächter“ haben, beleuchtet am besten der nachstehende Strafantrag, den die Judenschaft durch"
1930,10. Ausgabe 1930.txt,Juden,kaufen,"fremden Ländern, die ihnen ein Asyl geben, sich bescheidener und zum Teil anständiger zu benehmen. Eine Verunglimpfung und Schmähung der Juden bedeutet es ferner, wenn nicht in irgendeinem sachlichen Artikel der Bevölkerung angeraten wird, nicht bei Juden zu kaufen, sondern wie"
1930,10. Ausgabe 1930.txt,Juden,kaufen,"Verunglimpfung und Schmähung der Juden bedeutet es ferner, wenn nicht in irgendeinem sachlichen Artikel der Bevölkerung angeraten wird, nicht bei Juden zu kaufen, sondern wie es in dieser neuesten Nummer der Zeitung geschieht, ohne jeden sachlichen Zusammenhang 10 Gebote aufgestellt werden:"
1930,10. Ausgabe 1930.txt,Juden,kaufen,"sondern wie es in dieser neuesten Nummer der Zeitung geschieht, ohne jeden sachlichen Zusammenhang 10 Gebote aufgestellt werden: „Nie bei Juden kaufen“ und diese zehn Gebote durch den ganzen Annoncenteil der Zeitung verstreut gebracht werden. Zugleich bedeutet die ebenfalls schmähende und"
1930,10. Ausgabe 1930.txt,Juden,kaufen,"die ebenfalls schmähende und verunglimpfende Annonce „Decken Sie Ihren Bedarf nur bei unseren Inserenten, um sicher zu sein, nicht bei Juden zu kaufen“ ebenfalls einen Verstoß gegen Vorschrift und Sinn der einstweiligen Verfügung, namentlich, wenn man dabei auch den Druck dieses"
1930,10. Ausgabe 1930.txt,Juden,warenhaus,"den Druck dieses Inserats betrachtet, der keine sachliche Empfehlung ist, sondern offenbar so gehalten ist, wie er vorliegt, um die Juden von vornherein bei jedem Leser des Stadt-Wächter herunterzusetzen. Auch die Ausführung des Artikels „Jüdische und christliche Warenhäuser Arm in Arm“"
1930,10. Ausgabe 1930.txt,Juden,kaufen,"Jacob M. Mosel, Osnabrück, Hornstraße. Autovermietung. Tel. 5410. Luxus-Fuhrgeschäft. Spezialität: Hochzeits-Gespanne. Osnabrück, Herm. Siebert, Kamp 25. 1. Gebot: Nie bei Juden kaufen! Stets große Auswahl: Mäntel, Pelze, Kragen, Besätze. Durch Ersparung hoher Unkosten ständig billigst. Franz Lippmann, Kürschner, Buerschestraße 103 (Kein"
1930,10. Ausgabe 1930.txt,Juden,"kaufen, laden","Besätze. Durch Ersparung hoher Unkosten ständig billigst. Franz Lippmann, Kürschner, Buerschestraße 103 (Kein Laden), Telefon 3388. 2. Gebot: Nie bei Juden kaufen! Soeben erschienen! Die 2. Auflage: Dr. phil. H. Schierbaums Heilkräuterbuch für Gesunde und Kranke, mit teils uralten, geheimen und"
1930,10. Ausgabe 1930.txt,Juden,"geschäft, kaufen","Rezepten. Zu haben in allen Buchhandlungen, im Reformhaus Krahnstraße und in der Geschäftsstelle des Stadt-Wächters Osnabrück. 3. Gebot: Nie bei Juden kaufen! Die echten Kräuterbonbons nach Rezept Dr. Schierbaum's für Husten und Heiserkeit, vielfach empfohlen. Bierstraße 40. erhalten Sie bei Joh."
1930,10. Ausgabe 1930.txt,Juden,kaufen,"Husten und Heiserkeit, vielfach empfohlen. Bierstraße 40. erhalten Sie bei Joh. Woltbrink. Für Wiederverkäufer Lohstr. 45. 4. Gebot: Nie bei Juden kaufen! Bestsitzende Maßanfertigung erhalten Sie bei Schneidermeister Jantzen, Parkstraße 12, Telefon 2003. Hut-Meyer, Blaue Mützen, Bruteier, Amerikanische Leghorn. Natruperstraße 102."
1930,10. Ausgabe 1930.txt,Juden,"kaufen, warenhaus","Herren-, Damen- und Kinderwäsche. Stadt-Wächter kaufen ihren Bedarf zu christlichen Festen Konfirmation Kommunion nur bei unsern Inserenten – nie bei Juden oder in Warenhäusern! Dehne & Lopp, Osnabrück, Großestr. 24/25. Zur Einsegnung: Knaben-Oberhemden, Kragen, Krawatten, Hosenträger, Socken, Unterzeug. Leibwäsche f. Mädchen,"
1930,10. Ausgabe 1930.txt,Juden,kaufen,"Krawatten, Hosenträger, Socken, Unterzeug. Leibwäsche f. Mädchen, Kleiderstoffe, Strümpfe, Handschuhe. Sehr große Auswahl, Sehr niedrige Preise. 5. Gebot: Nie bei Juden kaufen! Kunststopferei H. Hauck, Hasestr. 34, Eing. Jakobstr. Wo kaufe ich gute und billige Backwaren? In der Bäckerei und Konditorei"
1930,10. Ausgabe 1930.txt,Juden,kaufen,"Bäckerei und Konditorei von Ernst Jacoblinnert, Katharinenstraße 98. 17000 Bezieher, aber mindestens 70000 Leser beachten „Stadt-Wächter“. 6. Gebot: Nie bei Juden kaufen! Oberhemden, Krawatten, Cachenez, Handschuhe. G. Böhle & Sohn, Rosenplatz 4, Spezialhaus für Herrenartikel. 7. Gebot: Nie bei Juden kaufen!"
1930,10. Ausgabe 1930.txt,Juden,kaufen,"bei Juden kaufen! Oberhemden, Krawatten, Cachenez, Handschuhe. G. Böhle & Sohn, Rosenplatz 4, Spezialhaus für Herrenartikel. 7. Gebot: Nie bei Juden kaufen! Private Näh- u. Zuschneideschule. Gründlichen Unterricht im Wäsche- und Kleidernähen sowie im Sticken und Flicken erteilt M. Beekemeyer, Osnabrück,"
1930,10. Ausgabe 1930.txt,Juden,kaufen,"im Sticken und Flicken erteilt M. Beekemeyer, Osnabrück, Boksmauer 6a am Wall, dem städtischen Krankenhause gegenüber. 8. Gebot: Nie bei Juden kaufen! Zahn-Praxis Emil Tietz, Osnabrück, Weidnerstraße 6, Ecke Sutthauserstraße. Ersatzstücke in Gold, Ersatzgold, Kautschuk. Umbau schlechtsitzender Gebisse am selben Tage"
1930,10. Ausgabe 1930.txt,Juden,kaufen,"Umbau schlechtsitzender Gebisse am selben Tage der Einlieferung, Reparaturen in 3 bis 5 Stunden. Solide Preise. 9. Gebot: Nie bei Juden kaufen! Möbel sehr preiswert, schöne Formen, Qualitätsware. Eichen Schlafzimmer v. RM 600.– an. Franz Bröcker, Bramscherstraße 144. 10. Gebot: Nie"
1930,10. Ausgabe 1930.txt,Juden,kaufen,"Möbel sehr preiswert, schöne Formen, Qualitätsware. Eichen Schlafzimmer v. RM 600.– an. Franz Bröcker, Bramscherstraße 144. 10. Gebot: Nie bei Juden kaufen! Stets größte Auswahl, Nur beste Verarbeitung, Immer billigste Preise. Osnabrücker Schürzenhaus Elsa Buller, Krahnstr. 22, früher Herrenteichstr. 10. Auswärtige"
1931,10. Ausgabe 1931.txt,jüdischen,geschäft,"man sie nicht wieder. Plötzlich etablierten sie sich als Geschäftsleute und nahmen den Eingesessenen Kundschaft und Brot weg. Neben ihrer jüdischen Geschäftstüchtigkeit brachten sie alle Untugenden Sowjetrusslands mit. Man weiß auch, wie sie mit Vorliebe versuchten, deutsche Christenmädchen zu verführen und"
1930,11. Ausgabe 1930.txt,Juden,"kaufen, warenhaus","Auslieferungslager LUDWIG MOLK, OSNABRÜCK, HEGERSTRASSE 10. Stadt-Wächter-Leser und Freunde handeln nie gedankenlos! Sie kaufen nur bei unsern Inserenten nie bei Juden und in Warenhäusern! Volkswohl, Krankenunterstützungskasse. Sitz Dortmund, Betenstraße 10-12. Bietet Ihnen die beste Gewähr zur Beseitigung etwa auftretender Krankheiten, da"
1930,11. Ausgabe 1930.txt,Juden,"kaufen, warenhaus","höchste Bezüge gesucht für Landkr. Osnabrück, die Kreise Iburg, Tecklenburg, Bentheim, Meppen, Bersenbrück, Wittlage und Melle. Christliche Konfirmationsgeschenke niemals beim Juden kaufen oder im Warenhaus! Unsere Inserenten bedienen Sie preiswert und gut! Stadt-Wächter-Leser sollen sich gegenseitig unterstützen! Deshalb bei unsern Inserenten"
1930,11. Ausgabe 1930.txt,Juden,kaufen,"Inserenten bedienen Sie preiswert und gut! Stadt-Wächter-Leser sollen sich gegenseitig unterstützen! Deshalb bei unsern Inserenten kaufen, unter keinen Umständen beim Juden! SEITE 4 (Anmerkung: Diese Seite enthält hauptsächlich Werbung und eine Liste von „Geboten“ mit antisemitischem Inhalt, die hier originalgetreu wiedergegeben"
1930,11. Ausgabe 1930.txt,Juden,kaufen,"Mantelhaus „Strodthoff“ Die neuen Frühjahrs-Mäntel u. Kostüme sind eingetroffen. Wittekindstr. 1, 1. Etage, an der Hasebrücke. 1. Gebot: Nie bei Juden kaufen! Blaue Mützen - Gasthaus zur Butenburg, eine der ältesten Gaststätten Osnabrücks. Besitzer Franz Hülemann, Gr. Gildewart. Fernsprecher 6614. Neuzeitlich"
1930,11. Ausgabe 1930.txt,Juden,kaufen,"Besitzer Franz Hülemann, Gr. Gildewart. Fernsprecher 6614. Neuzeitlich eingerichtete Fremdenzimmer, Preise 2,50 M einschl. erstes Frühstück. 2. Gebot: Nie bei Juden kaufen! Reformschuhe kauft man preisw. nur aus dem Spezialgeschäft REFORMHAUS für Straße, Haus, Gesellschaft und kranke Füße. Gummilose Krampfaderstrümpfe. Kostenlose"
1930,11. Ausgabe 1930.txt,Juden,"kaufen, zins","Haus, Gesellschaft und kranke Füße. Gummilose Krampfaderstrümpfe. Kostenlose Beratung für Fuß- und Beinleiden. OSNABRÜCK Krahnstraße 32/33. 3. Gebot: Nie bei Juden kaufen! Bau- und Hypothekengeld zinsfrei und unkündbar zur Herstellung oder zum Kauf eines Eigenheimes, zur Ablösung von Zinshypotheken durch die"
1930,11. Ausgabe 1930.txt,Juden,"kaufen, zins","zur Ablösung von Zinshypotheken durch die DEUTSCHE BAUSPARKASSE e.G.m.b.H. Münster. Vertreter: M. Mosel, Osnabrück, Jacobstr. 4. 4. Gebot: Nie bei Juden kaufen! Autovermietung Tel. 5410. Tag- und Nachtbetrieb. Luxus-Fuhrgeschäft Spezialität: Hochzeits-Gespanne. Osnabrück Herm. Siebert Kamp 25. 5. Gebot: Nie bei Juden"
1930,11. Ausgabe 1930.txt,Juden,kaufen,"Juden kaufen! Autovermietung Tel. 5410. Tag- und Nachtbetrieb. Luxus-Fuhrgeschäft Spezialität: Hochzeits-Gespanne. Osnabrück Herm. Siebert Kamp 25. 5. Gebot: Nie bei Juden kaufen! Die echten Kräuterbonbons nach Rezept Dr. Schierbaum's für Husten und Heiserkeit vielfach empfohlen erhalten Sie Bierstraße 40, Joh. Wollbrink."
1930,11. Ausgabe 1930.txt,Juden,kaufen,"für Husten und Heiserkeit vielfach empfohlen erhalten Sie Bierstraße 40, Joh. Wollbrink. Für Wiederverkäufer Lohstr. 45. 6. Gebot: Nie bei Juden kaufen! Hut-Meyer Johannisstr. 101. Für den Hausputz: Scheuerbürsten 0.25, 0.38, 0.50 Schrubber 0.30, 0.45, 0.75 Kokosbesen 0.50, 0.80 Rosshaarbesen 1.50,"
1930,11. Ausgabe 1930.txt,Juden,kaufen,"Kauft bei Eurem Bäcker- u. Konditormeister! Iß mehr Brot! Es ist die billigste und beste Nahrung. 7. Gebot: Nie bei Juden kaufen! Die neuen Frühjahrs-Stoffe in meiner Maß-Abteilung sind eingetroffen. Feinste Maß-Anfertigung unter Garantie tadellosen Sitzes bei billigsten Preisen. Ber, das"
1930,11. Ausgabe 1930.txt,Juden,"kaufen, zins","Maß-Anfertigung unter Garantie tadellosen Sitzes bei billigsten Preisen. Ber, das bevorzugte Herren- und Knaben-Bekleidungs-Haus, Johannisstr. 127. 8. Gebot: Nie bei Juden kaufen! Kunststopferei H. Hauck Eing. Jakobstr. Baukapitaldarlehen zinslos und unkündbar zum Bau eines Eigenheimes, zum Kauf eines Eigenheimes, zur Ablösung"
1930,11. Ausgabe 1930.txt,Juden,"kaufen, warenhaus","gelacht! Neu! Neu! Novität. Tünnes und sein Zwillingsbruder. Posse in 3 Akten. Vorverkauf Zigarrenhaus Niemeyer, Neumarkt. 9. Gebot: Nie bei Juden kaufen! Stadt-Wächter kaufen ihren Bedarf zu christlichen Festen, Konfirmation, Kommunion nur bei unsern Inserenten nie bei Juden oder in Warenhäusern!"
1930,11. Ausgabe 1930.txt,Juden,"kaufen, warenhaus","Gebot: Nie bei Juden kaufen! Stadt-Wächter kaufen ihren Bedarf zu christlichen Festen, Konfirmation, Kommunion nur bei unsern Inserenten nie bei Juden oder in Warenhäusern! Stets große Auswahl Mäntel, Pelz, Kragen, Besätze. Durch Ersparung hoher Unkosten ständig billigst. Franz Lippmann, Kürschner Buerschestraße"
1930,11. Ausgabe 1930.txt,Juden,"kaufen, laden","Besätze. Durch Ersparung hoher Unkosten ständig billigst. Franz Lippmann, Kürschner Buerschestraße 103 (Kein Laden) Telefon 3388. 10. Gebot: Nie bei Juden kaufen! Oberhemden, Krawatten, Cachenez, Handschuhe. G. Böhle & Sohn Rosenplatz 4. Spezialhaus für Herrenartikel. 17000 Bezieher, aber mindestens 70.000 Leser"
1930,11. Ausgabe 1930.txt,jüdischen,geschäft,"Geschäfte ... wie sie von den Abzahlungsfirmen hier und fast überall in deutschen Landen betrieben werden, sind nur denkbar von jüdischen Inhabern. Sie sind zumeist aus Galizien oder sonstwo hergekommen und haben sich als ein Segen der Inflation überall niedergelassen, wie"
1931,11. Ausgabe 1931-1.txt,Judenfirma,bank,"fünf Millionen Dollar die Banque de Paris et des Pays-Bas in Frage kommen wird. Auch das Bankhaus Mendelssohn u. Co. (Judenfirma) in Amsterdam soll sich beteiligen. In der Wallstreet in Neuyork, d. h. in den Kreisen der Judenbanken, erhofft man von"
1931,11. Ausgabe 1931-1.txt,Jüdische,geschäft,"der Originale. Jeder möge er... in Freiheit bleiben, wir wünschen dem im Pulverdampf... einen langen Bremsabend. „Echt eichene“ Schlafzimmer – Jüdische Geschäftsmoral Auch das leidige System der Abzahlungsgeschäfte, schreibt die „Nationalzeitung“ am 23. Januar, hat schon viel Elend in manche Familie"
1931,11. Ausgabe 1931-1.txt,Juden,"geschäft, geld, kaufen","gibt Geschäfte, die mit rücksichtsloser Schärfe die Gelder für ihre Möbel eintreiben, und auf diesem Gebiet haben sich besonders die Juden hervorgetan. So ist vor nicht allzu langer Zeit ein charakteristischer Fall passiert. Ein gewisser Mann namens Hans St. kaufte sich"
1931,11. Ausgabe 1931-1.txt,jüdischen,kaufen,"ist vor nicht allzu langer Zeit ein charakteristischer Fall passiert. Ein gewisser Mann namens Hans St. kaufte sich bei dem jüdischen Möbelhändler Lucas in Duisburg, Casinostraße, eine Küche und ein Schlafzimmer für zusammen 2130 Mark. Das Schlafzimmer kostete als „echt eichenes“"
1931,11. Ausgabe 1931-1.txt,jüdischen,"geschäft, kaufen","aus Amerika Milwaukee, 27. 1. 31. An den werten Stadt-Wächter! Deutsche Frauen und Landsleute, aufgepasst, wenn ihr die Geschäftsräume eines jüdischen Unternehmens betretet. Als ich vor einigen Tagen ein Verkaufsangebot einer Auktionsfirma in meinem Briefkasten fand, machte ich mich mit einer"
1931,11. Ausgabe 1931-1.txt,jüdischer,geschäft,"Briefkasten fand, machte ich mich mit einer Nachbarsfrau auf, um uns den offerierten Schund mal anzusehen. Da solche Angebote meistens jüdischer Natur sind, war auch dies eine von jenen. Wir gingen nun in das Innere des Geschäftes, wo bloß zwei Angestellte"
1930,12. Ausgabe 1930.txt,jüdischen,"wucher, warenhaus","nationalen Selbsterhaltung nicht dulden, dass unser Volk bis aufs Mark ausgesaugt wird durch jüdisch-internationale Börsenmanöver, dass Bauer und Mittelstand durch jüdischen Wucher, jüdische Vieh- und Güterhändler, Hausierer, Abzahlungs- und Warenhäuser, unterstützt durch Gesetze von verbrecherischer Freizügigkeit langsam zugrunde gerichtet, proletarisiert, dem"
1930,12. Ausgabe 1930.txt,jüdische,"wucher, warenhaus","nicht dulden, dass unser Volk bis aufs Mark ausgesaugt wird durch jüdisch-internationale Börsenmanöver, dass Bauer und Mittelstand durch jüdischen Wucher, jüdische Vieh- und Güterhändler, Hausierer, Abzahlungs- und Warenhäuser, unterstützt durch Gesetze von verbrecherischer Freizügigkeit langsam zugrunde gerichtet, proletarisiert, dem Bolschewismus, der"
1930,12. Ausgabe 1930.txt,jüdische,"geschäft, kaufen","das Judentum geschädigt. Man gehe durch die Straßen, ganz gleich, welcher deutschen Stadt. Überall, wo einst deutsche Kaufleute saßen, steigen jüdische Geschäftshäuser hoch. Die Konfektion ist fast ausnahmslos in Händen der Juden. In jeder Hauptstadt starren grelle Plakate, Lichttransparente usw., mit"
1930,12. Ausgabe 1930.txt,Juden,"geschäft, kaufen","deutschen Stadt. Überall, wo einst deutsche Kaufleute saßen, steigen jüdische Geschäftshäuser hoch. Die Konfektion ist fast ausnahmslos in Händen der Juden. In jeder Hauptstadt starren grelle Plakate, Lichttransparente usw., mit irgendeinem der bekannten lieblichen „Tebs, Lage“ usw. usw. Firmen. Der eine"
1930,12. Ausgabe 1930.txt,jüdischen,"kaufen, konkurrenz","zu fallen. Der Mann ist wirtschaftlich zugrunde gerichtet, reif für das Proletariat, darf seinen eigenen Anzug auf Abzahlung bei der jüdischen Konkurrenz kaufen, die ihn proletarisiert hat. So ist gegenwärtig der Gang in Deutschland, mehr oder weniger bei allen Wirtschaftszweigen. Deshalb"
1930,12. Ausgabe 1930.txt,jüdischen,kaufen,"dieser Stelle veröffentlichte Beiträge übernehmen wir nur die pressgesetzliche Verantwortung] De Taskendöker Lengerich. So lauteten die großen Reklamen eines hiesigen jüdischen Kaufhauses. Nun ein Beispiel, wie „billig“ sich die Waren stellten. Aus dem Nachbardorfe L. kommt ein Landwirt in die Stadt"
1930,12. Ausgabe 1930.txt,jüdischen,"kaufen, warenhaus","schon mancherlei. Das machte wohl das bös Gewissen? Die ganze Welt ist Schwindelei! Inventurpreise? Im diesjährigen Inventur-Ausverkauf ist bei einem jüdischen Kaufhause beobachtet worden, wie der Dekorateur des Warenhauses beim Umdekorieren in „normalen Zeiten“ von den Preisschildern des Inventur-Verkaufs das Wort"
1930,12. Ausgabe 1930.txt,jüdischen,"geschäft, kaufen","vor allem der gutgläubigen Osnabrücker Weiblichkeit in’s Stammbuch. Sie kann daraus ersehen, dass zum mindesten ein großer Teil der in jüdischen Geschäften zum Inventur-Ausverkauf als herabgesetzt angekündigten Waren nie mehr gekostet haben, also ganz normal ausgezeichnet waren. Ja es liegt die"
1930,12. Ausgabe 1930.txt,Judenfirma,"geld, konkurrenz","über diesen Fall und diese merkwürdige Preisgestaltung einmal nach. Wahrscheinlich könnt ihr dann künftig viel Geld sparen. Von der gleichen Judenfirma, notabene das ausgesprochenste Ramschgeschäft Osnabrücks, ist uns außerdem ein Fall von schmutzigstem Konkurrenzverfahren bekanntgeworden, den wir in Kürze anzuprangern im"
1930,12. Ausgabe 1930.txt,Juden,kaufen,"Dekorationen / Tapeten / Linoleum / Läuferstoffe / Stragula / Balatum Tapeten-Restbestände zu bedeutend herabgesetzten Preisen. 1. Gebot: Nie bei Juden kaufen! Zur Konfirmation und Kommunion Anzüge von 19.– an. Oberhemden, Kragen, Krawatten, Hosenträger, Hüte, Mützen, Taschentücher. Blaue Anzugstoffe in jeder"
1930,12. Ausgabe 1930.txt,Juden,"kaufen, warenhaus","einschl. erstes Frühstück. Stadt-Wächter Leser kaufen ihren Bedarf Zu christlichen Festen Konfirmation – Kommunion nur bei unsern Inserenten, nie bei Juden oder in Warenhäusern! 124 Krebstodesfälle hatte die Stadt Osnabrück in einem Jahre. Darüber ist bereits erkannt, dass die modernsten Kulturkrankheiten"
1930,12. Ausgabe 1930.txt,Juden,kaufen,"bis zum feinsten Artikel in unübertroffener Auswahl. Dehne & Sopp, Inhaber: Ernst Stemmer. OSNABRÜCK, Großestr. 25. 2. Gebot: Nie bei Juden kaufen! Trocken-Wäsche können die werten Hausfrauen in unserer Waschanstalt mittels elektr. Heißmangel jederzeit selbst plätten. Benutzungspreis 2.– pro Stunde. Geschw."
1931,12. Ausgabe 1931-1.txt,Juden,geschäft,"Achtung! Arbeitslose Familienväter erhalten gegen Vorzeigen der Stempelkarte den „Stadt-Wächter“ gratis in der Geschäftsstelle, Schlagvorderstr. 22. Der „Stadt-Wächter“ Redaktion. Die Juden sind Deutschlands Unglück PAGE 2 Seite 2 | Der Stadt-Wächter Osnabrück | Freitag, den 13. Februar 1931 Ein Bahnbrecher Am"
1930,13. Ausgabe 1930.txt,Jude,geschäft,"derselben entschieden ablehnen. In diesem Zusammenhang wird es wieder einmal notwendig, darauf hinzuweisen, daß hier als Leiter der Ortskrankenkasse der Jude Flatauer fungiert. Die oben geschilderten Methoden tragen doch allzusehr den Stempel jüdischen Geschäftsgebarens, um nicht zum mindesten eine geistige Verbindung"
1930,13. Ausgabe 1930.txt,jüdischen,geschäft,"hinzuweisen, daß hier als Leiter der Ortskrankenkasse der Jude Flatauer fungiert. Die oben geschilderten Methoden tragen doch allzusehr den Stempel jüdischen Geschäftsgebarens, um nicht zum mindesten eine geistige Verbindung mit dem Leiter erkennen zu lassen. Wo nichts ist ... Dummheit der"
1930,13. Ausgabe 1930.txt,jüdischen,warenhaus,"„Freie“ Presse hier in Osnabrück dazu hergibt, sich „Arbeiterblatt“ zu nennen und den „Stadt-Wächter“ auch darum anzugreifen, weil er die jüdischen Warenhäuser bekämpft, so ist das unerhört und ein Skandal, den sich die Arbeiter strengstens verbitten sollten. Nicht das Warenhaus, sondern"
1930,13. Ausgabe 1930.txt,jüdischen,geschäft,"Arbeiterblättern scharf vor die Nase gestellt. Die „Freie Presse“ nennt den „Stadt-Wächter“ außerdem ein „Hakenkreuzblatt übelster Sorte“, das „gegen den jüdischen Volksteil lospöbelt“. Das Blatt weiß genau so wie wir und alle Arbeiter, daß nur gegen die jüdische Moral und Geschäftspraxis"
1930,13. Ausgabe 1930.txt,jüdische,geschäft,"das „gegen den jüdischen Volksteil lospöbelt“. Das Blatt weiß genau so wie wir und alle Arbeiter, daß nur gegen die jüdische Moral und Geschäftspraxis zu Felde gezogen wird. Der einzelne Jude an und für sich ist uns herzlich gleichgültig. Der Redakteur"
1930,13. Ausgabe 1930.txt,Jude,geschäft,"so wie wir und alle Arbeiter, daß nur gegen die jüdische Moral und Geschäftspraxis zu Felde gezogen wird. Der einzelne Jude an und für sich ist uns herzlich gleichgültig. Der Redakteur der Freien Presse ist von den Juden verpflichtet, gegen den"
1930,13. Ausgabe 1930.txt,Juden,kaufen,"ist aber zu Alexander & Co. gelaufen. Also ein Versehen, gegen den Willen von Dr. Schierbaum. Im Übrigen können die Juden unbesorgt sein, es wird nicht wieder vorkommen. Dr. Schierbaum wie seine gesamte Verwandtschaft und ein großer Teil seines Bekanntenkreises kaufen"
1930,13. Ausgabe 1930.txt,jüdischen,kaufen,"vorkommen. Dr. Schierbaum wie seine gesamte Verwandtschaft und ein großer Teil seines Bekanntenkreises kaufen schon seit Jahren nichts mehr bei jüdischen Firmen. Daß das so bleiben wird, darauf kann die „Freie Presse“ Gift nehmen. Zur Judenexpansion in Osnabrück Als seinerzeit, etwa"
1930,13. Ausgabe 1930.txt,jüdische,warenhaus,"Presse“ Gift nehmen. Zur Judenexpansion in Osnabrück Als seinerzeit, etwa Anfang dieses Jahres, in hiesigen Blättern die Meldung auftauchte, die jüdische Firma Max Blank & Co. habe das schöne alte Patrizierhaus Große Straße 43 (Finkenstaedt-Breusing) zur Erweiterung ihres Warenhauses angekauft, wurde"
1930,13. Ausgabe 1930.txt,jüdischen,geschäft,"vergehen, da die Firma Finkenstaedt-Breusing einen nahezu über diese Zeit erstreckenden Mietvertrag hat und gar nicht daran denkt, sich von jüdischen Geschäftsmethoden erdrücken zu lassen. Severing'scher Schmutz über die Massen Berlin, 16. März. In einer hiesigen republikanischen Kundgebung sprach Reichsinnenminister Severing"
1930,13. Ausgabe 1930.txt,Juden,kaufen,"mit Matr. u. Auflagen 75.— Waschkommoden 75.— 3-tür. Kleiderschränke billigst. Karl Riepenhausen Kokschestr., Nähe Hasetorwall. Zahlungserleichterung. 8. Gebot: Nie bei Juden kaufen! „Mercedes“ die beste deutsche Schreibmaschine, leicht zerlegbar, ruhiger Gang, besonders stabil. Mercedes-Korrespondenz-Maschine Mercedes-Buchhaltungs-Maschine Mercedes-Elektra Mercedes-Add-Elektra Mercedes-Büromaschinen-Werke A.-G. Zella-Mehlis i."
1930,13. Ausgabe 1930.txt,Juden,kaufen,"Patentmatratzen u. Polsterauflagen billig zu verkaufen. 5 Jahre Garantie. Teilzahlung. Kamp 31 (Nähe Neumarkt). Fernruf 2686. Frauen-Mäntel Nie gedankenlos bei Juden kaufen! Stadt-Wächter unterstützen sich gegenseitig und kaufen deshalb nur bei unsern Inserenten! Übergangs-Mäntel H. Rott jr., Tabletten Johannismauer. Fernruf 3222."
1930,13. Ausgabe 1930.txt,Juden,kaufen,"gegenseitig und kaufen deshalb nur bei unsern Inserenten! Übergangs-Mäntel H. Rott jr., Tabletten Johannismauer. Fernruf 3222. 9. Gebot: Nie bei Juden kaufen! Jede Radio-Heizbatterie kann repariert werden. Ladestation Akku-Dienst H. Schultheis Spindelstr. Ecke Rudolfstr. 2. Reformschuhe kauft man preisw. u. gut"
1930,13. Ausgabe 1930.txt,Juden,kaufen,erstem Frühstück. Ein Gebot der Zeit! Unterstützt das selbständige Handwerk! Kauft bei Eurem Bäcker- u. Konditormeister! 4. Gebot: Nie bei Juden kaufen! Auto-Batterien / Radio-Batterien werden geladen. Leihbatterien vorrätig. Neue Batterien stets am Lager. Spezial-Reparaturwerkstatt für Batterien aller Art und Typen.
1930,13. Ausgabe 1930.txt,Juden,kaufen,"Spindelstraße Ecke Rudolfstraße 2. Conr. Glüsenkamp Uhrmacher OSNABRÜCK, Johannisstrasse 117. Uhren, Gold- und Silberwaren. Eigene Reparatur-Werkstätte. 1. Gebot: Nie bei Juden kaufen! Der Kauf eines Wassermotors sowie einer Waschmaschine mit Wassermotor ist Vertrauenssache. Meine Motor-Waschmaschine ist keine Handelsware, sondern eine sorgfältige"
1930,13. Ausgabe 1930.txt,Juden,kaufen,"Batterien werden geladen und repariert. Anlage, Unterhaltung und Reparatur. Akku-Dienst H. Schultheis, Spindelstr. Ecke Rudolfstr. 2 2. Gebot: Nie bei Juden kaufen! Reizende Baby-Ausstattungen Jäckchen, Mützchen, Schühchen, Taufkleidchen, kurze Kleidchen, Mäntelchen, Trag-Capes, Wagendecken, Steppdecken. Wagenkissen, Couverts für Wagendecken, Wäsche für Kinderbettchen"
1930,13. Ausgabe 1930.txt,Juden,kaufen,"3. Reihe, 3. Stand vom Stadttheater aus. Joh. Wollbrink, Bierstr. 19. Spezialfabrik feiner Schokoladen und Zuckerwaren. 5. Gebot: Nie bei Juden kaufen! RESTAURATION AUG. BUDDE NEUESTR. Bestgepflegte Getränke und Speisen. Achtung! Luxus-Fuhrgeschäft Spezialität: Hochzeits-Gespanne. Herm. Siebert, Osnabrück, Kamp 25. Tel. 5410."
1930,13. Ausgabe 1930.txt,Juden,kaufen,"Uhren, Trauringe, Bestecke. Umänderungen von Schmuck in moderner Ausführung. G. GUDE, Goldschmied. Große Hamkenstraße 7 I/E. 3. Gebot: Nie bei Juden kaufen! Karl Münter Großestr. 92, Nähe Neumarkt. Spezialgeschäft für Teppiche / Gardinen / Dekorationen / Tapeten / Linoleum / Läuferstoffe"
1930,13. Ausgabe 1930.txt,Juden,kaufen,"Eidechsen, Schildkröten. Kanarien- und Volierenvögel. Reizende Spielaffen. Meerschweinchen. Weiße Mäuse. Aquarien und Terrarien, eigene Anfertigung. Vogelkäfige. 6. Gebot: Nie bei Juden kaufen! Stets große Auswahl Mäntel, Pelz, Kragen, Besätze Durch Ersparung hoher Unkosten ständig billig! Franz Lippmann, Kürschner Buerschestraße 103 (Kein"
