jahr,dateiname,anker,begriffe,zitat
1930,05. Ausgabe 1930-1.txt,Jüdischer,finanz,"Dabei unterschied sich ihre finanzielle Lage kaum von der anderer Städte. Aber anders gewirtschaftet wird dort: Sauberer, sparsamer, ehrlicher. +4 Jüdischer Größenwahn oder Frechheit In der „C.-V.-Zeitung“ (Organ des Zentral-Vereins deutscher Staatsbürger jüdischen Glaubens) beweihräuchert ein 100-prozentiger Jude seine Rassegenossen vom"
1930,05. Ausgabe 1930-1.txt,jüdisch,finanz,"heil vorgezeichneter Weg im vorigen Jahrhundert allerdings nicht von geistig zermarterten Strauchrittern belagert war. Wohin uns das Hineintreten in die jüdisch verseuchte Weite geführt hat, davon redet der nicht allein finanzielle, sondern – was sich viel schlimmer auswirkt – auch kulturelle,"
1930,05. Ausgabe 1930-1.txt,jüdischen,geschäft,"Iburgerstraße 89, Inhaber Götz. Flottplätt-Wäsche 28 Pfg. das Pfund. +1 Sie schaden Ihrem guten Ruf, wenn Sie bei Einkäufen in jüdischen Geschäften beobachtet werden! Jeder unterstützt unsern Kampf, der bei unsern Inserenten einkauft und sich dabei stets auf den Stadt-Wächter bezieht."
1931,05. Ausgabe 1931.txt,Juden,geld,"„Täuschers“ dem „Goi“ gegenübertreten, gerade diese „Täuscher“ sind es, auf die die nichtjüdische „bürgerliche“ Intelligenz hereinfällt. Wenn diese „anständigen“, „hochachtbaren“ Juden als Taufjuden (Guckenheimer!) in christliche Wohltätigkeitsvereine sich begeben und Geldspenden leisten, dann tun sie es nicht aus einem (dem Nichtjuden"
1931,05. Ausgabe 1931.txt,Juden,geld,"Wohltätigkeitsvereine sich begeben und Geldspenden leisten, dann tun sie es nicht aus einem (dem Nichtjuden eigenen!) inneren Drange heraus. Wenn Juden (getauft oder ungetauft) sich den Nichtjuden gegenüber wohltätig zeigen, so tun sie es aus einer Überlegung heraus, die nur praktische"
1931,05. Ausgabe 1931.txt,jüdischen,wucher,"waren es der Zar von Russland, seine Familie und Millionen von antisemitischen Russen, die den in Russland zur Macht gelangten jüdischen Bluthunden zum Opfer fielen. Die Juden wuchern, betrügen, schänden und lügen, wie es ihre Väter vor Jahrtausenden getan haben und"
1931,05. Ausgabe 1931.txt,Juden,wucher,"seine Familie und Millionen von antisemitischen Russen, die den in Russland zur Macht gelangten jüdischen Bluthunden zum Opfer fielen. Die Juden wuchern, betrügen, schänden und lügen, wie es ihre Väter vor Jahrtausenden getan haben und wie sie schon zu Abrahams und"
1930,07. Ausgabe 1930-1.txt,jüdischen,"geschäft, geld, warenhaus","zersetzende Element der Judenrasse findet im Geschäftsleben seinen Ausdruck im Geldgeschäft und im alles erdrückenden Warenhaus, das ein Produkt des jüdischen Charakters, also der jüdischen Rasse ist. Der Jude führt seine Profitgier rücksichtslos zum Siege, auf Kosten des deutschen Volkes, das"
1930,07. Ausgabe 1930-1.txt,jüdischen,"geschäft, geld, warenhaus","findet im Geschäftsleben seinen Ausdruck im Geldgeschäft und im alles erdrückenden Warenhaus, das ein Produkt des jüdischen Charakters, also der jüdischen Rasse ist. Der Jude führt seine Profitgier rücksichtslos zum Siege, auf Kosten des deutschen Volkes, das überwiegend germanischer Rasse ist."
1930,07. Ausgabe 1930-1.txt,Jude,"geld, warenhaus","Ausdruck im Geldgeschäft und im alles erdrückenden Warenhaus, das ein Produkt des jüdischen Charakters, also der jüdischen Rasse ist. Der Jude führt seine Profitgier rücksichtslos zum Siege, auf Kosten des deutschen Volkes, das überwiegend germanischer Rasse ist. So muß auch der"
