Rang,Name,Typ,Nennungen
77,Matr,Person,6
78,Sofa,Person,6
79,Lippmann,Person,6
80,Polstermeister,Organisation,6
81,Dr. Schierbaums,Person,6
82,Freien Presse,Organisation,6
83,Brinkmann,Person,6
84,Heraus,Person,6
85,Antisemitismus,Organisation,6
86,Schubert,Person,6
87,Nachf,Person,6
88,Heinr,Person,6
89,Schierbaums Gesundheitspudding,Person,6
90,Schulenberg,Person,6
91,H. Rott jr,Person,6
92,Kräuterbonbons,Person,6
93,Carl Doutrelepont,Person,6
94,J. Bernat,Person,6
95,Glüsenkamp,Person,6
96,Herbert Cröplin,Person,6
97,Unser Dienst,Organisation,6
98,Frank,Person,6
99,Rosenpl,Person,6
100,Protektierwerk,Organisation,6
101,Buch,Person,6
102,JENTZEN Schneidermeister,Organisation,6
103,Fr. Pr,Person,6
104,V.D.A,Organisation,6
105,Reformhaus Osnabrück,Organisation,5
106,Rote Mieterkarte,Organisation,5
107,Bismarck,Person,5
108,Schiller,Person,5
109,Zentrums,Organisation,5
110,Kommission,Organisation,5
111,Krawatten,Person,5
112,Emil Schönfeld,Person,5
113,H. Schierbaums Heilkräuterbuch,Person,5
114,Tünnes,Person,5
115,Jakobstr,Person,5
116,Siebert Kamp,Person,5
117,Knaben-Bekleidungshaus,Organisation,5
118,Hegerstraße Nr. 10,Person,5
119,Zeitungshalle Johannisstraße Nr,Person,5
120,Maria Hinz,Person,5
121,Hermann,Person,5
122,Klingsöhr,Organisation,5
123,Woolworth,Organisation,5
124,Ernst Stemmer,Person,5
125,Steinkühler,Person,5
126,Café Schröder,Person,5
127,Heinrich Laumann,Person,5
128,Fellmann,Person,5
129,Sommergerste,Person,5
130,Ludwig Mölk,Person,5
131,Scheidt,Person,5
132,Nährmittelfabrik A. & H. Möllering,Person,5
133,Tödtmanns Zigarrenhaus,Person,5
134,Iburgerstr,Person,5
135,Schalinsky,Person,5
136,Pelz- u. Kürschnerwaren,Organisation,5
137,H. Kattenbaum,Person,5
138,Kolkmeyer,Person,5
139,Adolf König,Person,5
140,F. Rott,Person,5
141,Adolf Schäfer,Person,5
142,Friedrich Mai,Person,5
143,Fahrradhaus Schinkel,Person,5
144,E. Dettmar,Person,5
145,Inserate,Person,5
146,Gustav Wolf,Person,5
147,Stresemann,Person,5
148,Reichsbanner,Organisation,5
149,Mill,Person,5
150,Lieber,Person,4
151,Rathausvereins,Person,4
152,Osnabrücker,Person,4
153,Osnabrücks,Person,4
154,Erbsen,Person,4
155,Kuhlmann,Person,4
156,Schmidt,Person,4
157,Ziegelstr,Person,4
158,W. Strubbe,Person,4
159,Kellensmann,Person,4
160,Bez.-Dir,Person,4
161,Sutthauserstr,Person,4
162,M. Beckemeyer,Organisation,4
163,Herr van Loewen,Person,4
164,Firma Wollbrink,Person,4
165,Bierstraße Nr,Organisation,4
166,Dr. Schierbaum-Tees,Organisation,4
167,Bayerische Volkspartei,Organisation,4
168,Uns,Person,4
169,Preisen,Person,4
170,Gesundheitspudding,Person,4
171,Sommers,Person,4
172,Wiederverkäufer Lohstr,Person,4
173,Heinrich Dolle,Person,4
174,Conr,Person,4
175,Dr. H. Schierbaum,Person,4
176,Young-Plan,Organisation,4
177,Neue,Organisation,4
178,Rezept Dr,Person,4
179,Tack,Organisation,4
180,A. Becker,Person,4
181,A. Winkelmann,Person,4
182,G. Böhle & Sohn,Organisation,4
183,Dora Schimmeroth,Person,4
184,Becker,Person,4
185,Zentrumspartei,Organisation,4
186,Kirche,Organisation,4
187,Buchdruckerei G. m. b. H,Person,4
188,Heymann,Person,4
189,Waschanstalt,Organisation,4
190,H. Krikus,Person,4
191,Teufel,Person,4
192,Heinrich Fettkötter,Person,4
193,Fleischereibedarf,Person,4
194,Reformhaus Gottfr,Person,4
195,Hugo Ott,Person,4
196,Dein Geld,Person,4
197,Bd. I,Person,4
198,Schierbaums Deutsche Reformmedizin,Person,4
199,Kredit-Beschaffungs-Gesellschaft,Organisation,4
200,Goethestr,Person,4
