Rang,Name,Anmerkung,Nennungen
114,Hebt die Stimmung,,1
115,Neuauflage jetzt zu haben bei,,1
116,Kinderwagen,,1
117,Gold,,1
118,Mäntel,,1
119,Bruteier weiße Leghorn Stck 2.50 RM,,1
120,Schuhbesohl-Anstalt H. Höfemeyer,,1
121,Franz Schulze Inhaber Erwin Kolkmeyer,,1
122,Oberhemden,,1
123,RESTAURATION AUG. BUDDE,,1
124,Detektivbüro „Atlantic“ Inh. Fellmann,,1
125,Weizen 269,,1
126,Weizen 276–278,,1
127,Roggen 163,,1
128,Buerschestraße 105. Etwas Gutes für wenig Geld,,1
129,Joh. Wollbrink,,1
130,Gebr. Antoni,,1
131,Carl Doutrelepont,,1
132,Schürzenhaus Elsa Buller,,1
133,A. Vogedes,,1
134,Nyland,,1
135,G. Gude,,1
136,J. Plogmann,,1
137,H. Lahrmann,,1
138,Schank,,1
139,A. Hackmann,,1
140,Conr. Glüsenkamp,,1
141,C. Veltmann,,1
142,Franz Schulze,,1
143,Norddeutsche Fischhalle A. Becker,,1
144,Möbelhaus H. Rott jr,,1
145,Aug. Klute,,1
146,Emaillier-Anstalt Fellmann,,1
147,Weizen 288–292,,1
148,Gegen Mitesser Dr. Schierbaums Akne-Tee solange trinken,,1
149,An den 3 Jahrmarktstagen das auserlesene,,1
150,Vom 14.–17. März 1931 in der Stadthalle,,1
151,Dortmund und Essen. Marktverlauf in Dortmund schlecht,,1
152,Kaufm. Privatschule E. Bradina,,1
153,Chauffeur,,1
154,Großestr. 92. Teppiche,,1
155,Kamp 40. „Rasofix“ – Rasieren ohne Seife,,1
156,Reinigen,,1
157,Allen Kranken zum Nutzen,,1
158,Breslau: Weizen 288,,1
159,Schriftl. u. rechnerische Arbeiten,,1
160,Dreher,,1
161,Knabenanzüge fertigt an außer dem Hause. Alw. Bott,,1
162,Humorist und Komiker für Hochzeiten,,1
163,Zeitungshalle am Stadttheater,,1
164,Zeitungs-Agentur des Stadt-Wächter,,1
165,Weizen 74 kg 285,,1
166,Weizen 76/77 kg 15–15,,1
167,Roggen 193,,1
