ausgabe_nr,jahrgang,datum,datum_iso,wochentag,seitenzahl,tokens_gesamt,tokens_gefiltert,dateiname_txt,dateiname_pdf,ocr_cer,ocr_wer
18,1930,27. April 1930,1930-04-27,Sonntag,33,16144,5407,18. Ausgabe 1930-1.txt,18. Ausgabe 1930-1.pdf,,
19,1930,4. Mai 1930,1930-05-04,Sonntag,20,9230,3129,OCR 19. 1930 Ausgabe.txt,OCR 19. 1930 Ausgabe.pdf,,
20,1930,11. Mai 1930,1930-05-11,Sonntag,34,18626,6069,20. Ausgabe 1930.txt,20. Ausgabe 1930.pdf,,
21,1930,18. Mai 1930,1930-05-18,Sonntag,22,11957,3861,21. Ausgabe 1930.txt,21. Ausgabe 1930.pdf,,
22,1930,25. Mai 1930,1930-05-25,Sonntag,27,13796,4465,22. Ausgabe 1930.txt,22. Ausgabe 1930.pdf,,
23,1930,1. Juni 1930,1930-06-01,Sonntag,26,13112,4369,23. Ausgabe 1930.txt,23. Ausgabe 1930.pdf,,
24,1930,8. Juni 1930,1930-06-08,Sonntag,17,8382,2834,24. Ausgabe 1930.txt,24. Ausgabe 1930.pdf,4.63,25.75
25,1930,15. Juni 1930,1930-06-15,Sonntag,27,13510,4493,25. Ausgabe 1930.txt,25. Ausgabe 1930.pdf,,
26,1930,22. Juni 1930,1930-06-22,Sonntag,25,12658,4249,26. Ausgabe 1930.txt,26. Ausgabe 1930.pdf,,
27,1930,29. Juni 1930,1930-06-29,Sonntag,21,11088,3759,27. Ausgabe 1930.txt,27. Ausgabe 1930.pdf,,
28,1930,6. Juli 1930,1930-07-06,Sonntag,27,13976,4700,28. Ausgabe 1930.txt,28. Ausgabe 1930.pdf,,
29,1930,13. Juli 1930,1930-07-13,Sonntag,24,12152,3902,29. Ausgabe 1930.txt,29. Ausgabe 1930.pdf,,
30,1930,20. Juli 1930,1930-07-20,Sonntag,24,12247,4103,30. Ausgaabe 1930.txt,30. Ausgaabe 1930.pdf,,
31,1930,27. Juli 1930,1930-07-27,Sonntag,26,14199,4680,31. Ausgabe 1930.txt,31. Ausgabe 1930.pdf,,
32,1930,3. August 1930,1930-08-03,Sonntag,25,12799,4394,32. Ausgabe 1930.txt,32. Ausgabe 1930.pdf,7.93,26.78
33,1930,10. August 1930,1930-08-10,Sonntag,15,7559,2612,33. Ausgabe 1930.txt,33. Ausgabe 1930.pdf,,
34,1930,17. August 1930,1930-08-17,Sonntag,21,10784,3726,34. Ausgabe 1930.txt,34. Ausgabe 1930.pdf,,
34,1930,23. August 1930,1930-08-23,Samstag,18,10256,3292,34a Ausgabe 1930-1.txt,34a Ausgabe 1930-1.pdf,,
35,1930,23. August 1930,1930-08-23,Samstag,14,6771,2408,35. Ausgabe 1930-1.txt,35. Ausgabe 1930-1.pdf,,
36,1930,31. August 1930,1930-08-31,Sonntag,25,12918,4110,36. Ausgabe 1930.txt,36. Ausgabe 1930.pdf,,
37,1930,7. September 1930,1930-09-07,Sonntag,23,11977,3959,37. Ausgabe 1930.txt,37. Ausgabe 1930.pdf,,
38,1930,14. September 1930,1930-09-14,Sonntag,34,15808,5557,38. Ausgabe 1930.txt,38. Ausgabe 1930.pdf,,
39,1930,21. September 1930,1930-09-21,Sonntag,22,11402,4070,39. Ausgabe 1930.txt,39. Ausgabe 1930.pdf,,
40,1930,28. September 1930,1930-09-28,Sonntag,22,11069,3624,40. Ausgabe 1930.txt,40. Ausgabe 1930.pdf,,
41,1930,5. Oktober 1930,1930-10-05,Sonntag,20,10129,3550,41. Ausgabe 1930.txt,41. Ausgabe 1930.pdf,,
42,1930,8. Oktober 1930,1930-10-08,Mittwoch,26,13230,4459,42. Ausgabe 1930.txt,42. Ausgabe 1930.pdf,,
43,1930,12. Oktober 1930,1930-10-12,Sonntag,23,12030,4102,43. Ausgabe 1930.txt,43. Ausgabe 1930.pdf,,
44,1930,15. Oktober 1930,1930-10-15,Mittwoch,25,11880,4176,44. Ausgabe 1930.txt,44. Ausgabe 1930.pdf,,
45,1930,19. Oktober 1930,1930-10-19,Sonntag,16,8705,2991,45. Ausgabe 1930.txt,45. Ausgabe 1930.pdf,3.13,27.83
46,1930,22. Oktober 1930,1930-10-22,Mittwoch,20,10277,3452,46. Ausgabe 1930.txt,46. Ausgabe 1930.pdf,,
47,1930,26. Oktober 1930,1930-10-26,Sonntag,20,9821,3331,47. Ausgabe 1930.txt,47. Ausgabe 1930.pdf,,
48,1930,29. Oktober 1930,1930-10-29,Mittwoch,14,7072,2354,48. Ausgabe 1930.txt,48. Ausgabe 1930.pdf,,
49,1930,31. Oktober 1930,1930-10-31,Freitag,19,11464,3713,49. Ausgabe 1930.txt,49. Ausgabe 1930.pdf,,
50,1930,5. November 1930,1930-11-05,Mittwoch,23,11521,3671,50. Ausgabe 1930.txt,50. Ausgabe 1930.pdf,,
50,1930,7. November 1930,1930-11-07,Freitag,6,2927,1026,50a Ausgabe 1930.txt,50a Ausgabe 1930.pdf,,
52,1930,12. November 1930,1930-11-12,Mittwoch,20,10978,3676,52. Ausgabe 1930.txt,52. Ausgabe 1930.pdf,,
53,1930,16. November 1930,1930-11-16,Sonntag,23,10802,3650,53. Ausgaben 1930.txt,53. Ausgaben 1930.pdf,,
54,1930,19. November 1930,1930-11-19,Mittwoch,24,12911,4339,54. Ausgabe 1930.txt,54. Ausgabe 1930.pdf,,
55,1930,23. November 1930,1930-11-23,Sonntag,21,9926,3450,55. Ausgabe 1930.txt,55. Ausgabe 1930.pdf,,
56,1930,26. November 1930,1930-11-26,Mittwoch,21,9878,3335,56. Ausgabe 1930.txt,56. Ausgabe 1930-1.pdf,,
56,1930,26. November 1930,1930-11-26,Mittwoch,21,9878,3335,56. Ausgabe 1930.txt,56. Ausgabe 1930.pdf,,
57,1930,28. November 1930,1930-11-28,Freitag,28,13447,4421,57. Ausgabe 1930.txt,57. Ausgabe 1930.pdf,,
58,1930,2. Dezember 1930,1930-12-02,Dienstag,21,11676,3837,58. Ausgabe 1930.txt,58. Ausgabe 1930.pdf,,
59,1930,5. Dezember 1930,1930-12-05,Freitag,23,12792,4013,59. Ausgabe 1930.txt,59. Ausgabe 1930.pdf,,
60,1930,9. Dezember 1930,1930-12-09,Dienstag,23,12003,3738,60. Ausgabe 1930.txt,60. Ausgabe 1930.pdf,,
61,1930,12. Dezember 1930,1930-12-12,Freitag,25,13154,4320,61. Ausgabe 1930.txt,61. Ausgabe 1930.pdf,,
62,1930,16. Dezember 1930,1930-12-16,Dienstag,23,11732,3965,62. Ausgabe 1930.txt,62. Ausgabe 1930.pdf,,
63,1930,19. Dezember 1930,1930-12-19,Freitag,24,13205,4216,63. Ausgabe 1930.txt,63. Ausgabe 1930.pdf,,
66,1930,31. Dezember 1930,1930-12-31,Mittwoch,34,17909,5869,66. Ausgabe 1930.txt,66. Ausgabe 1930.pdf,,
,1930,23. Dezember 1930,1930-12-23,Dienstag,29,14491,4692,64_65. Ausgabe 1930.txt,64_65. Ausgabe 1930.pdf,,
1,1931,6. Januar 1931,1931-01-06,Dienstag,15,7576,2348,01. Ausgabe 1931-1.txt,01. Ausgabe 1931-1.pdf,4.68,23.95
2,1931,9. Januar 1931,1931-01-09,Freitag,23,13387,4338,02. Ausgabe 1931-1.txt,02. Ausgabe 1931-1.pdf,,
3,1931,13. Januar 1931,1931-01-13,Dienstag,24,12880,4358,03. Ausgabe 1931-1.txt,03. Ausgabe 1931-1.pdf,,
4,1931,16. Januar 1931,1931-01-16,Freitag,22,11395,3645,04. Ausgabe 1931.txt,04. Ausgabe 1931.pdf,,
5,1931,20. Januar 1931,1931-01-20,Dienstag,25,12625,4175,05. Ausgabe 1931.txt,05. Ausgabe 1931.pdf,,
6,1931,23. Januar 1931,1931-01-23,Freitag,22,12893,4280,06. Ausgabe 1931-1.txt,06. Ausgabe 1931-1.pdf,,
7,1931,27. Januar 1931,1931-01-27,Dienstag,25,13258,4408,07. Ausgabe 1931-1.txt,07. Ausgabe 1931-1.pdf,,
8,1931,30. Januar 1931,1931-01-30,Freitag,26,13300,4391,08. Ausgabe 1931-1.txt,08. Ausgabe 1931-1.pdf,,
9,1931,3. Februar 1931,1931-02-03,Dienstag,26,14333,4706,09. Ausgabe 1931-1.txt,09. Ausgabe 1931-1.pdf,,
10,1931,6. Februar 1931,1931-02-06,Freitag,25,12617,4245,10. Ausgabe 1931.txt,10. Ausgabe 1931.pdf,4.89,25.57
11,1931,10. Februar 1931,1931-02-10,Dienstag,21,10242,3468,11. Ausgabe 1931-1.txt,11. Ausgabe 1931-1.pdf,,
12,1931,13. Februar 1931,1931-02-13,Freitag,23,12022,4108,12. Ausgabe 1931-1.txt,12. Ausgabe 1931-1.pdf,,
13,1931,17. Februar 1931,1931-02-17,Dienstag,22,12727,4270,13. Ausgabe 1931-1.txt,13. Ausgabe 1931-1.pdf,,
14,1931,20. Februar 1931,1931-02-20,Freitag,19,9516,3097,14. Ausgabe 1931-1.txt,14. Ausgabe 1931-1.pdf,,
15,1931,24. Februar 1931,1931-02-24,Dienstag,22,13279,4146,15. Ausgabe 1931-2.txt,15. Ausgabe 1931-2.pdf,,
16,1931,27. Februar 1931,1931-02-27,Freitag,25,12881,4147,16. Ausgabe 1931-2.txt,16. Ausgabe 1931-2.pdf,,
17,1931,3. März 1931,1931-03-03,Dienstag,23,13113,4216,17. Ausgabe 1931-1.txt,17. Ausgabe 1931-1.pdf,,
18,1931,6. März 1931,1931-03-06,Freitag,25,13578,4232,18. Ausgabe 1931.txt,18. Ausgabe 1931.pdf,,
19,1931,10. März 1931,1931-03-10,Dienstag,22,14123,4306,19. Ausgabe 1931-1.txt,19. Ausgabe 1931-1.pdf,,
20,1931,13. März 1931,1931-03-13,Freitag,21,11956,3850,20. Ausgabe 1931-1.txt,20. Ausgabe 1931-1.pdf,9.54,26.31
21,1931,17. März 1931,1931-03-17,Dienstag,24,13871,4399,21. Ausgabe 1931-1.txt,21. Ausgabe 1931-1.pdf,,
22,1931,20. März 1931,1931-03-20,Freitag,24,13321,4353,22. Ausgabe 1931-1.txt,22. Ausgabe 1931-1.pdf,,
23,1931,24. März 1931,1931-03-24,Dienstag,24,13672,4215,23. Ausgabe 1931-1.txt,23. Ausgabe 1931-1.pdf,,
24,1931,27. März 1931,1931-03-27,Freitag,22,10023,3220,24. Ausgabe 1931-1.txt,24. Ausgabe 1931-1.pdf,,
29,1931,14. April 1931,1931-04-14,Dienstag,25,13965,4539,29. Ausgabe 1931.txt,29. Ausgabe 1931.pdf,,
30,1931,17. April 1931,1931-04-17,Freitag,23,13072,4222,30. Ausgabe 1931.txt,30. Ausgabe 1931.pdf,,
31,1931,21. April 1931,1931-04-21,Dienstag,25,14540,4762,31. Ausgabe 1931.txt,31. Ausgabe 1931.pdf,,
32,1931,24. April 1931,1931-04-24,Freitag,24,14384,4674,32. Ausgabe 1931.txt,32. Ausgabe 1931.pdf,,
33,1931,28. April 1931,1931-04-28,Dienstag,24,12854,4094,33. Ausgabe 1931.txt,33. Ausgabe 1931.pdf,,
,1931,1. April 1931,1931-04-01,Mittwoch,37,19600,6242,25_26 Ausgabe 1931.txt,25_26 Ausgabe 1931.pdf,,
,1931,9. April 1931,1931-04-09,Donnerstag,31,19713,6671,27_28. Ausgabe 1931.txt,27_28. Ausgabe 1931.pdf,,
16,,11. August 1929,1929-08-11,Sonntag,,10112,3499,16. Ausgabe OCR korrekt.txt,,,
