dateiname,muster,treffer_text,orgs_ner,pers_ner,kontext
30. Ausgaabe 1930.txt,Judengeschäft,Judengeschäft,,● Samson David; ● E. Dettmar,"Große Straße 12. Spezialität: Feine Damen- und Herren-Wäsche. ● Samson David – Krahnstraße: ist ein [TREFFER] Judengeschäft [/TREFFER] . ● Bodden, Osnabrück: Klingensberg 4. Kohlen und Futterartikel, Spedition. ● E. Dettmar: Hermannstr. 14."
30. Ausgaabe 1930.txt,Judengeschäft,Judengeschäft,Handwerk!,● Ph; Philipp; H. Fiege; Goldstr; ● L. Heymann,"selbständige Handwerk! Kauft bei Eurem Bäcker- u. Konditormeister! ● Ph. Philipp – Großerstraße: ist ein [TREFFER] Judengeschäft [/TREFFER] . ● Autoruf 3404: H. Fiege, Goldstr. 21. ● L. Heymann – Hasestraße: ist ein"
30. Ausgaabe 1930.txt,Judengeschäft,Judengeschäft,● Bavaria-Kindl-Bräu; Goldener Saal; Bavaria-Café,H. Fiege; Goldstr; ● L. Heymann; Reichhaltiger Mittagstisch,"Judengeschäft. ● Autoruf 3404: H. Fiege, Goldstr. 21. ● L. Heymann – Hasestraße: ist ein [TREFFER] Judengeschäft [/TREFFER] . ● Bavaria-Kindl-Bräu und Goldener Saal: Reichhaltiger Mittagstisch von 1.25 Mk an. Bavaria-Café: Täglich humoristische"
30. Ausgaabe 1930.txt,Judengeschäft,Judengeschäft,,Hugo Mosbach; ● H. Krikus; Bierstr; ● Otto Loeb,"Schneidermeisterin, Möserstr. 42. Ausbildung im Zuschneiden und Nähen. ● Hugo Mosbach – Großerstraße: ist ein [TREFFER] Judengeschäft [/TREFFER] . ● H. Krikus, Bierstr. 37: Uhren-Bestecke-Trauringe kaufen Sie gut und preiswert. ● Otto Loeb"
30. Ausgaabe 1930.txt,Judengeschäft,Judengeschäft,,Bierstr; ● Otto Loeb; Bierstrasse; ● Hypothekengeld,Bierstr. 37: Uhren-Bestecke-Trauringe kaufen Sie gut und preiswert. ● Otto Loeb – Johannisstraße: ist ein [TREFFER] Judengeschäft [/TREFFER] . ● Kaffeehaus Widerhall: Bierstrasse 16. Jeden Sonntag Konzert. ● Hypothekengeld u. Kredite: an Beamte
30. Ausgaabe 1930.txt,Judengeschäft,Judengeschäft,● Markus & Co.; ● Gasthaus,Herbert Cröplin; Kamp; Franz Hülsmann,"Festbesoldete durch Herbert Cröplin, Kamp 40 c. ● Markus & Co. – Großerstraße: ist ein [TREFFER] Judengeschäft [/TREFFER] . ● Autoruf 3388: Vermietung auch an Selbstfahrer. ● Gasthaus zur Butenburg: Franz Hülsmann, Gr."
30. Ausgaabe 1930.txt,Judengeschäft,Judengeschäft,● Blank & Co.,Gr; ● H. Thode; Seminarstraße Ecke Lyrastr,"Gr. Gildewart 12. Fremdenzimmer Preis 2.50 RM. ● Blank & Co. – Großerstraße: ist ein [TREFFER] Judengeschäft [/TREFFER] . ● H. Thode, Maßgeschäft: Seminarstraße Ecke Lyrastr. Anfertigung la moderner Herren-Damenkleidung. ● Der „Stadt-Wächter“:"
30. Ausgaabe 1930.txt,Judengeschäft,Judengeschäft,● Alsberg & Co.,Anzeigenetat; Möbelvertrieb Heinr; Stranghöner,Anzeigenetat nicht an wertlose Ankündigungen in Tageszeitungen... ● Alsberg & Co. – Großerstraße: ist ein [TREFFER] Judengeschäft [/TREFFER] . ● Möbelvertrieb Heinr. Stranghöner: Augustenburgerstraße 4 und 5. Schlafzimmer ab 550 RM. ● Photograph
30. Ausgaabe 1930.txt,Judengeschäft,Judengeschäft,,● S. Wertheim; Rezept Dr. Schierbaum's; Lohstr,"16. Hochzeits-, Vereins-, Familienaufnahmen. ● Autovermietung: Telefon 5410. ● S. Wertheim – Großerstraße: ist ein [TREFFER] Judengeschäft [/TREFFER] . ● Echte Kräuterbonbons: nach Rezept Dr. Schierbaum's. Joh. Wollbrink, Lohstr. 19. PAGE 5 Seite"
31. Ausgabe 1930.txt,Judengeschäft-Marking,ist ein Judengeschäft,Handwerk!; ● Finkenstädt-Breusing; ● Alsberg & Co. — Großestraße,,Unterstützt das selbständige Handwerk! Kauft bei Eurem Bäcker- u. Konditormeister! ● Hugo Mosbach — Großestraße [TREFFER] ist ein Judengeschäft [/TREFFER] . ● Finkenstädt-Breusing nebenan ist ein christliches Geschäft. ● Alsberg & Co. — Großestraße ist
31. Ausgabe 1930.txt,Judengeschäft-Marking,ist ein Judengeschäft,● Finkenstädt-Breusing; ● Alsberg & Co. — Großestraße; ● Dehne & Sopp,● S. Wertheim,"ein Judengeschäft. ● Finkenstädt-Breusing nebenan ist ein christliches Geschäft. ● Alsberg & Co. — Großestraße [TREFFER] ist ein Judengeschäft [/TREFFER] . ● Dehne & Sopp nebenan, Großestraße 24/25, ist ein christliches Geschäft. ● S. Wertheim"
31. Ausgabe 1930.txt,Judengeschäft-Marking,ist ein Judengeschäft,Dehne & Sopp; ● Blank &,● S. Wertheim; ● W. Becker; Herrenteichstr,"Dehne & Sopp nebenan, Großestraße 24/25, ist ein christliches Geschäft. ● S. Wertheim — Großestraße [TREFFER] ist ein Judengeschäft [/TREFFER] . ● W. Becker, Herrenteichstr. 9/10 - Rosenplatz, ist ein christliches Geschäft. ● Blank &"
31. Ausgabe 1930.txt,Judengeschäft-Marking,ist ein Judengeschäft,● Blank & Co. — Großestraße; ● Finkenstädt-Breusing,Herrenteichstr; ● Emil Schönfeld,"Becker, Herrenteichstr. 9/10 - Rosenplatz, ist ein christliches Geschäft. ● Blank & Co. — Großestraße [TREFFER] ist ein Judengeschäft [/TREFFER] . ● Finkenstädt-Breusing nebenan ist ein christliches Geschäft. ● Emil Schönfeld — Großestraße ist ein"
31. Ausgabe 1930.txt,Judengeschäft-Marking,ist ein Judengeschäft,● Finkenstädt-Breusing,● Emil Schönfeld; ● Mantelhaus Strodthoff; ● Otto Loeb,"ist ein Judengeschäft. ● Finkenstädt-Breusing nebenan ist ein christliches Geschäft. ● Emil Schönfeld — Großestraße [TREFFER] ist ein Judengeschäft [/TREFFER] . ● Mantelhaus Strodthoff, Wittekindstraße 11, ist ein christliches Geschäft. ● Otto Loeb — Johannisstraße"
31. Ausgabe 1930.txt,Judengeschäft-Marking,ist ein Judengeschäft,,● Mantelhaus Strodthoff; ● Otto Loeb; Karoline Tweer,"Judengeschäft. ● Mantelhaus Strodthoff, Wittekindstraße 11, ist ein christliches Geschäft. ● Otto Loeb — Johannisstraße [TREFFER] ist ein Judengeschäft [/TREFFER] . ● Karoline Tweer, Johannisstraße 35, ist ein christliches Geschäft. ● Markus & Co. —"
31. Ausgabe 1930.txt,Judengeschäft-Marking,ist ein Judengeschäft,,● Karoline Tweer; ● Th; ● Samson David,"● Karoline Tweer, Johannisstraße 35, ist ein christliches Geschäft. ● Markus & Co. — Großestraße [TREFFER] ist ein Judengeschäft [/TREFFER] . ● Th. Kündahl, Großestraße 13, ist ein christliches Geschäft. ● Samson David — Krahnstraße"
31. Ausgabe 1930.txt,Judengeschäft-Marking,ist ein Judengeschäft,● Aug. Hammersen,● Th; ● Samson David; ● Ph; Philipp — Großestraße,"Judengeschäft. ● Th. Kündahl, Großestraße 13, ist ein christliches Geschäft. ● Samson David — Krahnstraße [TREFFER] ist ein Judengeschäft [/TREFFER] . ● Aug. Hammersen, Bierstraße 31, ist ein christliches Geschäft. ● Ph. Philipp — Großestraße"
31. Ausgabe 1930.txt,Judengeschäft-Marking,ist ein Judengeschäft,● Aug. Hammersen,● Ph; Philipp — Großestraße; ● Mantelhaus Strodthoff,"Judengeschäft. ● Aug. Hammersen, Bierstraße 31, ist ein christliches Geschäft. ● Ph. Philipp — Großestraße [TREFFER] ist ein Judengeschäft [/TREFFER] . ● Mantelhaus Strodthoff, Wittekindstraße 11, ist ein christliches Geschäft. Großer Saison-Ausverkauf Wir empfehlen unsern"
31. Ausgabe 1930.txt,Judengeschäft,Judengeschäft,Handwerk!; ● Finkenstädt-Breusing; ● Alsberg & Co. — Großestraße,,selbständige Handwerk! Kauft bei Eurem Bäcker- u. Konditormeister! ● Hugo Mosbach — Großestraße ist ein [TREFFER] Judengeschäft [/TREFFER] . ● Finkenstädt-Breusing nebenan ist ein christliches Geschäft. ● Alsberg & Co. — Großestraße ist
31. Ausgabe 1930.txt,Judengeschäft,Judengeschäft,● Finkenstädt-Breusing nebenan; ● Alsberg & Co. — Großestraße; ● Dehne & Sopp,● S. Wertheim,"● Finkenstädt-Breusing nebenan ist ein christliches Geschäft. ● Alsberg & Co. — Großestraße ist ein [TREFFER] Judengeschäft [/TREFFER] . ● Dehne & Sopp nebenan, Großestraße 24/25, ist ein christliches Geschäft. ● S. Wertheim"
31. Ausgabe 1930.txt,Judengeschäft,Judengeschäft,● Blank &,● S. Wertheim — Großestraße; ● W. Becker; Herrenteichstr,"Sopp nebenan, Großestraße 24/25, ist ein christliches Geschäft. ● S. Wertheim — Großestraße ist ein [TREFFER] Judengeschäft [/TREFFER] . ● W. Becker, Herrenteichstr. 9/10 - Rosenplatz, ist ein christliches Geschäft. ● Blank &"
31. Ausgabe 1930.txt,Judengeschäft,Judengeschäft,● Blank & Co. — Großestraße; ● Finkenstädt-Breusing,● Emil Schönfeld,"9/10 - Rosenplatz, ist ein christliches Geschäft. ● Blank & Co. — Großestraße ist ein [TREFFER] Judengeschäft [/TREFFER] . ● Finkenstädt-Breusing nebenan ist ein christliches Geschäft. ● Emil Schönfeld — Großestraße ist ein"
31. Ausgabe 1930.txt,Judengeschäft,Judengeschäft,● Finkenstädt-Breusing,● Emil Schönfeld; ● Mantelhaus Strodthoff; ● Otto Loeb,"Judengeschäft. ● Finkenstädt-Breusing nebenan ist ein christliches Geschäft. ● Emil Schönfeld — Großestraße ist ein [TREFFER] Judengeschäft [/TREFFER] . ● Mantelhaus Strodthoff, Wittekindstraße 11, ist ein christliches Geschäft. ● Otto Loeb — Johannisstraße"
31. Ausgabe 1930.txt,Judengeschäft,Judengeschäft,,Mantelhaus Strodthoff; ● Otto Loeb; Karoline Tweer,"Mantelhaus Strodthoff, Wittekindstraße 11, ist ein christliches Geschäft. ● Otto Loeb — Johannisstraße ist ein [TREFFER] Judengeschäft [/TREFFER] . ● Karoline Tweer, Johannisstraße 35, ist ein christliches Geschäft. ● Markus & Co. —"
31. Ausgabe 1930.txt,Judengeschäft,Judengeschäft,,Tweer; ● Th; ● Samson David,"Tweer, Johannisstraße 35, ist ein christliches Geschäft. ● Markus & Co. — Großestraße ist ein [TREFFER] Judengeschäft [/TREFFER] . ● Th. Kündahl, Großestraße 13, ist ein christliches Geschäft. ● Samson David — Krahnstraße"
31. Ausgabe 1930.txt,Judengeschäft,Judengeschäft,● Aug. Hammersen,Th; ● Samson David; ● Ph; Philipp — Großestraße,"Th. Kündahl, Großestraße 13, ist ein christliches Geschäft. ● Samson David — Krahnstraße ist ein [TREFFER] Judengeschäft [/TREFFER] . ● Aug. Hammersen, Bierstraße 31, ist ein christliches Geschäft. ● Ph. Philipp — Großestraße"
31. Ausgabe 1930.txt,Judengeschäft,Judengeschäft,Aug. Hammersen,● Ph; Philipp — Großestraße; ● Mantelhaus Strodthoff,"Aug. Hammersen, Bierstraße 31, ist ein christliches Geschäft. ● Ph. Philipp — Großestraße ist ein [TREFFER] Judengeschäft [/TREFFER] . ● Mantelhaus Strodthoff, Wittekindstraße 11, ist ein christliches Geschäft. Großer Saison-Ausverkauf Wir empfehlen unsern"
32. Ausgabe 1930.txt,Judengeschäft-Marking,ist ein Judengeschäft,● Finkenstädt-Breusing,● Ph; Philipp – Große Straße,der Geschäftsstelle des Amtsgerichts. Einzelhandels-Anzeigen (Auswahl der politisch-religiösen Kennzeichnungen): ● Hugo Mosbach – Große Straße [TREFFER] ist ein Judengeschäft [/TREFFER] . ● Finkenstädt-Breusing nebenan ist ein christliches Geschäft. ● Ph. Philipp – Große Straße ist
32. Ausgabe 1930.txt,Judengeschäft-Marking,ist ein Judengeschäft,● Finkenstädt-Breusing,● Ph; Philipp – Große Straße; ● Mantelhaus Strodthoff; ● Otto Loeb,ein Judengeschäft. ● Finkenstädt-Breusing nebenan ist ein christliches Geschäft. ● Ph. Philipp – Große Straße [TREFFER] ist ein Judengeschäft [/TREFFER] . ● Mantelhaus Strodthoff – Wittekindstraße 11 ist ein christliches Geschäft. ● Otto Loeb –
32. Ausgabe 1930.txt,Judengeschäft-Marking,ist ein Judengeschäft,,● Mantelhaus Strodthoff; ● Otto Loeb; Karoline Tweer; ● Emil Schönfeld,● Mantelhaus Strodthoff – Wittekindstraße 11 ist ein christliches Geschäft. ● Otto Loeb – Johannisstraße [TREFFER] ist ein Judengeschäft [/TREFFER] . ● Karoline Tweer – Johannisstraße 35 ist ein christliches Geschäft. ● Emil Schönfeld –
32. Ausgabe 1930.txt,Judengeschäft-Marking,ist ein Judengeschäft,● Alsberg & Co.,Karoline Tweer; ● Emil Schönfeld; ● Mantelhaus Strodthoff,Karoline Tweer – Johannisstraße 35 ist ein christliches Geschäft. ● Emil Schönfeld – Große Straße [TREFFER] ist ein Judengeschäft [/TREFFER] . ● Mantelhaus Strodthoff – Wittekindstraße 11 ist ein christliches Geschäft. ● Alsberg & Co.
32. Ausgabe 1930.txt,Judengeschäft-Marking,ist ein Judengeschäft,● Alsberg & Co. – Große Straße; ● Dehne & Sopp,,Strodthoff – Wittekindstraße 11 ist ein christliches Geschäft. ● Alsberg & Co. – Große Straße [TREFFER] ist ein Judengeschäft [/TREFFER] . ● Dehne & Sopp nebenan – Große Straße 24/25 ist ein christliches Geschäft. ●
32. Ausgabe 1930.txt,Judengeschäft-Marking,ist ein Judengeschäft,,● S. Wertheim,– Große Straße 24/25 ist ein christliches Geschäft. ● Markus & Co. – Große Straße [TREFFER] ist ein Judengeschäft [/TREFFER] . ● Th. Buchdahl – Große Straße 13 ist ein christliches Geschäft. ● S. Wertheim
32. Ausgabe 1930.txt,Judengeschäft-Marking,ist ein Judengeschäft,,● S. Wertheim; ● W. Becker; ● Blank,Buchdahl – Große Straße 13 ist ein christliches Geschäft. ● S. Wertheim – Große Straße [TREFFER] ist ein Judengeschäft [/TREFFER] . ● W. Becker – Herrenteichstr. 9/10 - Rosenplatz ist ein christliches Geschäft. ● Blank
32. Ausgabe 1930.txt,Judengeschäft-Marking,ist ein Judengeschäft,● Blank & Co. – Große Straße; ● Finkenstädt-Breusing,● Samson David,Herrenteichstr. 9/10 - Rosenplatz ist ein christliches Geschäft. ● Blank & Co. – Große Straße [TREFFER] ist ein Judengeschäft [/TREFFER] . ● Finkenstädt-Breusing nebenan ist ein christliches Geschäft. ● Samson David – Krahnstraße ist ein
32. Ausgabe 1930.txt,Judengeschäft-Marking,ist ein Judengeschäft,● Finkenstädt-Breusing; ● Aug. Hammersen,● Samson David,ist ein Judengeschäft. ● Finkenstädt-Breusing nebenan ist ein christliches Geschäft. ● Samson David – Krahnstraße [TREFFER] ist ein Judengeschäft [/TREFFER] . ● Aug. Hammersen – Bierstraße 31 ist ein christliches Geschäft. Weitere Anzeigen & Meldungen:
32. Ausgabe 1930.txt,Judengeschäft,Judengeschäft,● Finkenstädt-Breusing,● Ph; Philipp – Große Straße,des Amtsgerichts. Einzelhandels-Anzeigen (Auswahl der politisch-religiösen Kennzeichnungen): ● Hugo Mosbach – Große Straße ist ein [TREFFER] Judengeschäft [/TREFFER] . ● Finkenstädt-Breusing nebenan ist ein christliches Geschäft. ● Ph. Philipp – Große Straße ist
32. Ausgabe 1930.txt,Judengeschäft,Judengeschäft,● Finkenstädt-Breusing nebenan,● Ph; Philipp – Große Straße; ● Mantelhaus Strodthoff; ● Otto Loeb,● Finkenstädt-Breusing nebenan ist ein christliches Geschäft. ● Ph. Philipp – Große Straße ist ein [TREFFER] Judengeschäft [/TREFFER] . ● Mantelhaus Strodthoff – Wittekindstraße 11 ist ein christliches Geschäft. ● Otto Loeb –
32. Ausgabe 1930.txt,Judengeschäft,Judengeschäft,,● Otto Loeb; Karoline Tweer; ● Emil Schönfeld,Strodthoff – Wittekindstraße 11 ist ein christliches Geschäft. ● Otto Loeb – Johannisstraße ist ein [TREFFER] Judengeschäft [/TREFFER] . ● Karoline Tweer – Johannisstraße 35 ist ein christliches Geschäft. ● Emil Schönfeld –
