Dokument,Gruppe,Dominantes_Thema,Themenanteil,Thema_1,Thema_2,Thema_3,Thema_4,Thema_5,Thema_6,Thema_7,Thema_8
OCR 19. Ausgabe 1931-1.txt,documents-export-2026-02-23 (1),6,0.746797544971682,6.62780716114774e-05,6.639412619067275e-05,6.633706724986864e-05,6.627807161461996e-05,6.627807160619038e-05,0.746797544971682,6.640603551252132e-05,0.2528044835845325
OCR 20. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),8,0.5395442130363639,4.524084372363096e-05,0.007011368529343147,4.5285664190916395e-05,4.524084372584759e-05,4.524084372010461e-05,0.4451699869661739,0.00809342327275871,0.5395442130363639
OCR 20. Ausgabe 1931-1.txt,documents-export-2026-02-23 (1),6,0.6823493886585067,6.483425882846538e-05,6.494487937642879e-05,6.489558645779103e-05,6.483425883137321e-05,6.483425882322352e-05,0.6823493886585067,6.494453806978313e-05,0.3172613235611062
OCR 21. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),8,0.5392789540720009,6.68451675576713e-05,6.69511645365205e-05,6.689997135454661e-05,6.684516756111151e-05,6.684516755253894e-05,0.4384418994743211,0.021944759815115702,0.5392789540720009
OCR 21. Ausgabe 1931-1.txt,documents-export-2026-02-23 (1),6,0.7285086803580303,6.154625851228764e-05,6.165356990818183e-05,6.158992877426486e-05,6.15462585146842e-05,6.15462585075119e-05,0.7285086803580303,6.165149513986015e-05,0.2711217858726128
OCR 22. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),8,0.5816112082743395,5.9666091249970756e-05,5.9767533886513936e-05,5.9710100011508565e-05,5.966609125325891e-05,5.966609124600014e-05,0.3232790869640466,0.09481122885396669,0.5816112082743395
OCR 22. Ausgabe 1931-1.txt,documents-export-2026-02-23 (1),6,0.6989471860294241,6.16372978502948e-05,6.173551952710924e-05,6.169278616818275e-05,6.163729785433841e-05,6.163729784655113e-05,0.6989471860294241,6.17495824759717e-05,0.30068272418885345
OCR 23. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),6,0.5363768549035492,5.852081310707787e-05,5.861579747696508e-05,5.8591155355604956e-05,5.85208131093357e-05,5.852081310184166e-05,0.5363768549035492,0.059022515440747596,0.40430786026355225
OCR 23. Ausgabe 1931-1.txt,documents-export-2026-02-23 (1),6,0.7089583599361631,5.757736108122313e-05,5.76705655090319e-05,5.763760720172332e-05,5.757736108457285e-05,5.7577361077627204e-05,0.7089583599361631,5.7675768079263514e-05,0.29069592403980354
OCR 24. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),8,0.5029274355421886,6.745842534168309e-05,6.758444613691823e-05,6.750678528411055e-05,6.745842534397127e-05,6.745842533611033e-05,0.4571469749519662,0.03958812299840241,0.5029274355421886
