Nr,Datei,Treffer-Wortform,Kontext
315,66. Ausgabe 1930.txt,Sozialdemokratische,"innerhalb der 
 Arbeiterbewegung . Die Sozialdemokratische Partei ist heute die Partei der"
316,OCR 10 Ausgabe.txt,sozialdemokratische,"Lesern mitzuteilen , daß der 
 sozialdemokratische Leiter des hiesigen Arbeitsamtes zum Regierungsrat"
317,OCR 10 Ausgabe.txt,Sozialdemokratie,"müssen wir jetzt erleben ! Die Sozialdemokratie , die augenblickliche Inhaberin der 
"
318,OCR 11 komplett.txt,sozialdemokratischen,"nennt man das in 
 den sozialdemokratischen Kreisen verschämt : Informations- und Studienreisen"
319,OCR 11 komplett.txt,sozialdemokratischer,"des Barmat-Prozesses nur 
 ein hervorragender sozialdemokratischer Parlamentarier [ hervorging ] . 
"
320,OCR 11 komplett.txt,sozialdemokratischen,"Vorwärts “ , das Zentralorgan der sozialdemokratischen Partei , hat schon die furchtbare"
321,OCR 11 komplett.txt,Sozialdemokratie,"da ein Wunder , wenn die Sozialdemokratie von dem Großkapital abhängig ist ?"
322,OCR 11 komplett.txt,sozialdemokratischen,"
 vaterländischen Zwecken wird von dem sozialdemokratischen Polizeipräsidenten verboten . 
 Aber wie"
323,OCR 12 korrekt.txt,Sozialdemokratische,"Richtern eine Rechtsbelehrung erteilen . Der Sozialdemokratische Parteiklüngel 
 [ sollte ] hier"
324,OCR 12 korrekt.txt,sozialdemokratischen,"Eine jüdische Schweinerei . In der sozialdemokratischen Zeitschrift „ Der Klassenkampf “ ,"
325,OCR 12 korrekt.txt,Sozialdemokratische,"T. “ aus Dresden 
 die Sozialdemokratische Partei ebenfalls in Dresden eine Kundgebung"
326,OCR 12 korrekt.txt,Sozialdemokratischen,", 
 sozialistischer Elternräte und der Sozialdemokratischen Partei . Als Hauptreferent trat der"
327,OCR 12 korrekt.txt,Sozialdemokratie,"die vielfach noch auf die 
 Sozialdemokratie schwört , aufgeklärt wird , wie"
328,OCR 13 Korrekt.txt,sozialdemokratische,"ist schamlos , was sich die sozialdemokratische und 
 demokratische Presse gegenwärtig in"
329,OCR 13 Korrekt.txt,Sozialdemokraten,"
 Aber jedem heute noch irregeleiteten Sozialdemokraten müssen wir sagen , was der"
330,OCR 13 Korrekt.txt,Sozialdemokraten,"
 alles übertrifft : „ Wir Sozialdemokraten müssen uns mit dem kapitalistischen Geist"
331,OCR 13 Korrekt.txt,sozialdemokratischer,"Dickbalg “ war früher ein echt sozialdemokratischer Ausdruck für alle Menschen , die"
332,OCR 13 Korrekt.txt,sozialdemokratische,", wie z. 
 B. der sozialdemokratische Führer Kuper , bist Jude ,"
333,OCR 14 korrekt.txt,Sozialdemokratie,"der 
 Gesellschaftsform schafft . 
 Sozialdemokratie und Schuldlüge . 
 Der Jude"
334,OCR 14 korrekt.txt,sozialdemokratische,"Schuldlüge . 
 Der Jude und sozialdemokratische Reichstagsabgeordnete Dr. Rosenfeld hielt vor kurzem"
335,OCR 14 korrekt.txt,Sozialdemokratischen,"Es ist die Aufgabe der 
 Sozialdemokratischen Partei Deutschlands , darauf zu achten"
336,OCR 14 korrekt.txt,sozialdemokratischen,"Mark ; für den Kindergarten der sozialdemokratischen Arbeiterwohlfahrt 1500 
 Mark ; für"
337,OCR 15 korrekt.txt,sozialdemokratischen,"
 begnügte , Severing als einzigen sozialdemokratischen Kollegen in sein Ministerium zu berufen"
338,OCR 15 korrekt.txt,Sozialdemokraten,", in dem nur 
 zwei Sozialdemokraten saßen . Otto Braun ist eben"
339,OCR 15 korrekt.txt,Sozialdemokratie,"wir nichts hinzufügen . 
 Die Sozialdemokratie hatte großtuend angekündigt , daß der"
340,OCR 17. Ausgabe korrekt.txt,Sozialdemokraten,handelt . ( Zuruf von den Sozialdemokraten ) . 1635 Millionen beträgt –
341,OCR 17. Ausgabe korrekt.txt,Sozialdemokraten,"gestellt . ( Lachen bei den Sozialdemokraten ) . 
 Sie lachen darüber"
342,OCR 17. Ausgabe korrekt.txt,Sozialdemokraten,"( Widerspruch und Zurufe von den Sozialdemokraten ) . Herr 
 Breitscheid ,"
343,OCR 17. Ausgabe korrekt.txt,sozialdemokratischen,"Nationalbank , welcher 
 bekanntlich den sozialdemokratischen „ Vorwärts “ mit 800 000"
344,OCR 17. Ausgabe korrekt.txt,sozialdemokratischen,"
 Verfassungsfeier durch die demokratischen und sozialdemokratischen Gazetten verbreiten , der 
 von"
345,OCR 18. Ausgabe korrekt.txt,sozialdemokratische,"“ . Soziale Sorgen . Zwei sozialdemokratische 
 Bonzen sprechen über ihre Sorgen"
346,OCR 19. Ausgabe korrekt.txt,Sozialdemokratie,"diesem 
 Schlagwort hat die deutsche Sozialdemokratie ihre Wähler immer und immer wieder"
347,OCR 19. Ausgabe korrekt.txt,Sozialdemokraten,"geködert . 

 Heute sind dieselben Sozialdemokraten wieder einmal die stärkste Partei Deutschlands"
348,OCR 19. Ausgabe korrekt.txt,sozialdemokratischen,", der auf der Bahn einem sozialdemokratischen Berichterstatter erklärte , daß 
 er"
349,OCR 19. Ausgabe korrekt.txt,sozialdemokratischen,"sei durch das dauernde Lesen der sozialdemokratischen Presse derart verblödet gewesen , daß"
350,OCR 19. Ausgabe korrekt.txt,sozialdemokratischen,"nach könnte der Herr von der sozialdemokratischen 
 Presse sein . Weshalb aus"
351,OCR 19. Ausgabe.txt,Sozialdemokratie,"sich der Stadt-Wächter an der 
 Sozialdemokratie . “ Sie besinnt sich ,"
352,OCR 19. Ausgabe.txt,Sozialdemokrat,"träumen lassen . „ Haas ist Sozialdemokrat , deshalb muß er eine auf"
353,OCR 19. Ausgabe.txt,sozialdemokratischer,"absolut falsch ! Haas ist 
 sozialdemokratischer „ Bonze “ und gelehriger Schüler"
354,OCR 19. Ausgabe.txt,Sozialdemokratie,"der die 
 übrigen Mitglieder der Sozialdemokratie kaum zu Worte kommen lässt ,"
355,OCR 19. Ausgabe.txt,Sozialdemokraten,", unter dessen Führung 
 die Sozialdemokraten auf dem Rathause zu einer Schutztruppe"
356,OCR 2. Ausgabe 1930.txt,Sozialdemokratie,"
 Generation . 
 Wenn die Sozialdemokratie glaubt , unser Eintreten für moralisch"
357,OCR 2. Ausgabe 1930.txt,Sozialdemokraten,"Antrag stieß merkwürdigerweise auf Billigung der Sozialdemokraten , Zentrumsleute etc. 
 Wohl nur"
358,OCR 2. Ausgabe 1930.txt,Sozialdemokraten,"willkürlich gewählten Senatoren ( auch die Sozialdemokraten sahen wie richtige 
 Bourgeois aus"
359,OCR 2. Ausgabe 1930.txt,Sozialdemokraten,"jemand ernstlich bestreiten , dass die Sozialdemokraten noch immer die größten 
 Arbeiterfeinde"
360,OCR 20. Ausgabe.txt,sozialdemokratischen,": Abgeordneter Heilmann , Führer der sozialdemokratischen 
 Landtagsfraktion , Georg Bernhard ,"
361,OCR 21. Ausgabe.txt,Sozialdemokrat,"Philipp . Philipp Scheidemann ist der Sozialdemokrat , der mit einer Reihe von"
362,OCR 21. Ausgabe.txt,Sozialdemokraten,"ist , 
 wie's von den Sozialdemokraten allerdings nur in der Theorie gelehrt"
363,OCR 22. Ausgabe.txt,sozialdemokratische,"die Krankenkassen-Aerzte verdienen . 
 Der sozialdemokratische Hauptverband deutscher Krankenkassen muß dem sommerlichen"
364,OCR 22. Ausgabe.txt,Sozialdemokraten,". Idiotie in Reinkultur . 
 Sozialdemokraten gegen Hilferding . Ein Nationalsozialist als"
365,OCR 22. Ausgabe.txt,sozialdemokratischen,", 9. 
 September . In sozialdemokratischen Beamtenkreisen herrscht starke Verstimmung gegen den"
366,OCR 22. Ausgabe.txt,Sozialdemokraten,"zum 
 Judenschutztruppler , d. h. Sozialdemokraten und Kommunisten , werden nie etwas"
367,OCR 24. Ausgabe.txt,sozialdemokratische,"eines Aufsatzes stehen , den der sozialdemokratische 
 Reichstagsabgeordnete und Minister a. D."
368,OCR 24. Ausgabe.txt,Sozialdemokrat,"sprach , wie gesagt , der Sozialdemokrat Sollmann vor zwei Jahren . Heute"
369,OCR 24. Ausgabe.txt,sozialdemokratische,". Heute aber preist die 
 sozialdemokratische Presse die bevorstehende Annahme des Young-Planes"
