Nr,Datei,Treffer-Wortform,Kontext
1,01. Ausgabe 1930.txt,Nationalsozialist,"Einen wenig schönen Jahreswechsel erlebte ein Nationalsozialist , der wegen seiner 
 Gesinnung"
2,01. Ausgabe 1930.txt,Nationalsozialist,"in die linke Hand . Der Nationalsozialist , ein kräftiger Mensch , der"
3,01. Ausgabe 1931-1.txt,Nationalsozialisten,"
 Sie benennt einen Disput des Nationalsozialisten Dr. Feder mit dem Sozialdemokraten Dr."
4,01. Ausgabe 1931-1.txt,Nationalsozialisten,"daran , daß zwischen einem 
 Nationalsozialisten und einem Sozialdemokraten Abgründe der Weltanschauung"
5,01. Ausgabe 1931-1.txt,Nationalsozialisten,", jetzt möchte man mit den Nationalsozialisten anbändeln . Wenn Alwine 
 Wellmann"
6,01. Ausgabe 1931-1.txt,Nationalsozialist,"nicht begriffen hat , daß kein Nationalsozialist dran denkt , jemals der 
"
7,02. Ausgabe 1931-1.txt,Nationalsozialisten,"“ Wenn man heute noch den Nationalsozialisten und dem 
 „ Stadt-Wächter “"
8,05. Ausgabe 1930-1.txt,Nationalsozialisten,"die ihm 
 unbequemen Ausführungen des Nationalsozialisten abfertigte . Dieser stellte entsprechend 
"
9,05. Ausgabe 1931.txt,Nationalsozialisten,"gleiche , was Juden 
 schon Nationalsozialisten gegenüber erklärten : „ Wenn ich"
10,05. Ausgabe 1931.txt,Nationalsozialist,"Jude wäre , würde ich 
 Nationalsozialist sein . “ Solche Höflichkeit kostet"
11,05. Ausgabe 1931.txt,Nationalsozialist,"schon noch werden . 
 Ein Nationalsozialist Präsident der Bremer Bürgerschaft 
 In"
12,05. Ausgabe 1931.txt,Nationalsozialisten,") mit den Stimmen der 
 Nationalsozialisten , Deutschnationalen , Wirtschaftspartei , Konservative"
13,06. Ausgabe 1930-1.txt,nationalsozialistische,"
 Wirklichkeit war es nicht der nationalsozialistische Wahlsieg , der die Zurückziehung der"
14,06. Ausgabe 1930-1.txt,nationalsozialistischen,", daß trotz der enormen 
 nationalsozialistischen Erfolge – oder gerade deshalb –"
15,06. Ausgabe 1930-1.txt,Nationalsozialisten,"nur noch bei Veranstaltungen der 
 Nationalsozialisten antreffen kann . Am Dienstag dieser"
16,06. Ausgabe 1930.txt,nationalsozialistische,"
 Wirklichkeit war es nicht der nationalsozialistische Wahlsieg , der die Zurückziehung der"
17,06. Ausgabe 1930.txt,nationalsozialistischen,", daß trotz der enormen 
 nationalsozialistischen Erfolge – oder gerade deshalb –"
18,06. Ausgabe 1930.txt,Nationalsozialisten,"nur noch bei Veranstaltungen der 
 Nationalsozialisten antreffen kann . Am Dienstag dieser"
19,07. Ausgabe 1931-1.txt,Nationalsozialisten,"In meiner 
 Erwiderung bei den Nationalsozialisten zu meiner Weihnachtsrede habe ich mich"
20,07. Ausgabe 1931-1.txt,Nationalsozialisten,"verboten hatte , bei den 
 Nationalsozialisten zu sprechen . Ich hatte mir"
21,07. Ausgabe 1931-1.txt,Nationalsozialisten,"einheimsen zu können . 
 Einem Nationalsozialisten , den dieser Schwindler vorerst als"
22,07. Ausgabe 1931-1.txt,Nationalsozialisten,"schon wieder zu erklären , diesen Nationalsozialisten als 
 Abonnenten gewonnen zu haben"
23,08. Ausgabe 1931-1.txt,Nationalsozialisten,"bewusst Tatsachen verdreht , um den Nationalsozialisten eins 
 auszuwischen . Dieses Schundblatt"
24,08. Ausgabe 1931-1.txt,Nationalsozialisten,"Himmel herunterlügt und 
 auf die Nationalsozialisten schimpft . Auch die Reiberei am"
25,09. Ausgabe 1931-1.txt,Nationalsozialisten,"Abonnenten . Die Stadtwächterpartei und die Nationalsozialisten ähneln dem 
 Donnerstag-Abonnenten . Sie"
26,09. Ausgabe 1931-1.txt,Nationalsozialist,"kochen . 
 Inrich ist nicht Nationalsozialist Die „ Freie Presse “ beschäftigt"
27,09. Ausgabe 1931-1.txt,nationalsozialistischen,"mit Herrn Fritz Inrich und seiner nationalsozialistischen Zeitungsgründung 
 in Bremen und bezeichnet"
28,09. Ausgabe 1931-1.txt,Nationalsozialisten,Bremen und bezeichnet Herrn Inrich als Nationalsozialisten . Das ist Herr Inrich nie
29,10. Ausgabe 1931.txt,Nationalsozialisten,"
 behauptete , sie stünde den Nationalsozialisten nahe ! Sie hätte gedroht ,"
30,10. Ausgabe 1931.txt,Nationalsozialisten,"hätte gedroht , ihn durch 
 Nationalsozialisten überfallen zu lassen , nur weil"
31,10. Ausgabe 1931.txt,Nationalsozialisten,"Presse darob anstimmte . Die 
 Nationalsozialisten , besonders die SA , wurden"
32,10. Ausgabe 1931.txt,nationalsozialistischer,"des Saalschutzes wie der Abwehr 
 nationalsozialistischer oder kommunistischer Angriffe ausgebildet und ausgerüstet"
33,10. Ausgabe 1931.txt,Nationalsozialisten,"davon , das Reichsbanner werde die Nationalsozialisten 
 nicht mit Blumen in den"
34,11. Ausgabe 1931-1.txt,Nationalsozialisten,", die Volkspartei und die 
 Nationalsozialisten . Die Aussichten für das Volksbegehren"
35,12. Ausgabe 1930.txt,Nationalsozialistische,"den Nachkriegsjahren ist es besonders die Nationalsozialistische 
 Deutsche Arbeiterpartei unter ihrem Führer"
36,12. Ausgabe 1930.txt,Nationalsozialistische,"gestiegen . – G. M. 
 Nationalsozialistische Monatshefte 
 Wie uns vom Verlag"
37,12. Ausgabe 1930.txt,nationalsozialistischer,"gestellt , die geistigen Grundlagen 
 nationalsozialistischer Weltanschauung zu vertiefen . Ein dauernder"
38,12. Ausgabe 1931-1.txt,nationalsozialistische,"vor sechs Jahren etwa die erste nationalsozialistische 
 Versammlung auf dem Brinkhügel abhielt"
39,12. Ausgabe 1931-1.txt,nationalsozialistischen,"die Versammlung . Wie er der nationalsozialistischen Idee im Niedersachsenland die 
 Bahn"
40,12. Ausgabe 1931-1.txt,Nationalsozialisten,"nationale Opposition , 
 Deutschnationale , Nationalsozialisten und Landvolk , den Saal verlassen"
41,13. Ausgabe 1931-1.txt,Nationalsozialisten,"er meint , dass die 
 Nationalsozialisten unter dem Einfluss irgendeines Führers ,"
42,13. Ausgabe 1931-1.txt,Nationalsozialisten,"dass bei dem temperamentvollen Vorgehen der Nationalsozialisten auch ihrerseits etwas 
 geschehen müsse"
43,13. Ausgabe 1931-1.txt,Nationalsozialisten,"nun ein wenig anders . Die Nationalsozialisten 
 sind nicht etwa aus dem"
44,13. Ausgabe 1931-1.txt,Nationalsozialisten,"sogar sein , dass diese den Nationalsozialisten 
 nicht einmal klar sind ."
45,13. Ausgabe 1931-1.txt,Nationalsozialisten,"so aus , als wollten die Nationalsozialisten mit 
 dem Zentrum zusammen sich"
46,14. Ausgabe 1930-1.txt,nationalsozialistische,"zeigen , wie recht die 
 nationalsozialistische Wirtschaftlehre hat , wenn sie behauptet"
47,14. Ausgabe 1930-1.txt,Nationalsozialisten,"sich gezogen hätten . Verlangen die Nationalsozialisten also mit 
 Unrecht staatlichen Eingriff"
48,14. Ausgabe 1931-1.txt,Nationalsozialist,"1929 griff der Abgeordnete Kube ( Nationalsozialist ) die ungeklärte 
 Angelegenheit erneut"
49,14. Ausgabe 1931-1.txt,nationalsozialistischen,"Wie betroffen mussten sich doch die nationalsozialistischen Wähler in Ihrer Gemeinde fühlen 

"
50,14. Ausgabe 1931-1.txt,Nationalsozialisten,"dass die 500 Anhänger der 
 Nationalsozialisten im Kirchspiel Engter schlechtere Christen sind"
51,14. Ausgabe 1931-1.txt,Nationalsozialisten,"aber trägt das Fiasko . Wir Nationalsozialisten wollen keine 
 Zurückdrängung des Kreuzes"
52,16. Ausgabe 1929 OCR korrekt.txt,Nationalsozialisten,". Weit über 100 000 
 Nationalsozialisten waren aus allen Gauen unseres Vaterlandes"
53,16. Ausgabe 1929 OCR korrekt.txt,Nationalsozialisten,"Kontext ] ... haben sich die Nationalsozialisten ... dies ist 
 jedem Mitglied"
54,16. Ausgabe 1929 OCR korrekt.txt,Nationalsozialisten,"Geradezu vorbildlich war die Disziplin der Nationalsozialisten , das muß unumwunden anerkannt 
"
55,16. Ausgabe 1929 OCR korrekt.txt,Nationalsozialisten,"daß nirgends ein 
 Verschulden der Nationalsozialisten für die blutigen Ereignisse festgestellt werden"
56,16. Ausgabe 1929 OCR korrekt.txt,Nationalsozialisten,"weiterhin , daß die 2 Toten Nationalsozialisten sind ; von diesen ist die"
57,16. Ausgabe 1930-1.txt,Nationalsozialisten,"Die Opposition , Kommunisten , 
 Nationalsozialisten und Stadt-Wächter hatten nur gekürzte Redezeit"
58,16. Ausgabe 1931-2.txt,Nationalsozialisten,"zu erkennen . Der Auszug der Nationalsozialisten und Deutschnationalen 
 aus diesem Tribut-Reichstag"
59,16. Ausgabe OCR korrekt.txt,Nationalsozialisten,". Weit über 100 000 
 Nationalsozialisten waren aus allen Gauen unseres Vaterlandes"
60,16. Ausgabe OCR korrekt.txt,Nationalsozialisten,"Kontext ] ... haben sich die Nationalsozialisten ... dies ist 
 jedem Mitglied"
61,16. Ausgabe OCR korrekt.txt,Nationalsozialisten,"Geradezu vorbildlich war die Disziplin der Nationalsozialisten , das muß unumwunden anerkannt 
"
62,16. Ausgabe OCR korrekt.txt,Nationalsozialisten,"daß nirgends ein 
 Verschulden der Nationalsozialisten für die blutigen Ereignisse festgestellt werden"
63,16. Ausgabe OCR korrekt.txt,Nationalsozialisten,"weiterhin , daß die 2 Toten Nationalsozialisten sind ; von diesen ist die"
64,17. Ausgabe 1931-1.txt,Nationalsozialisten,"zuwege gebracht hat . 
 Die Nationalsozialisten fühlten sich durch den Kuhhandel der"
65,17. Ausgabe 1931-1.txt,nationalsozialistische,"
 daß eine Partei wie die nationalsozialistische letzten Endes die Verfassung schützen muß"
66,17. Ausgabe 1931-1.txt,Nationalsozialist,". Ob Ernst Mann heute 
 Nationalsozialist ist , weiß ich nicht ."
67,17. Ausgabe 1931-1.txt,Nationalsozialistische,"Jahre 1920 erschienen , als die Nationalsozialistische Deutsche Arbeiterpartei 
 kaum über München"
68,17. Ausgabe 1931-1.txt,Nationalsozialistischen,"Wunsch und Willen , der 
 Nationalsozialistischen Deutschen Arbeiterpartei diesen Ernst Mann anzuhängen"
69,18. Ausgabe 1930-1.txt,Nationalsozialistische,ist einzig und allein die „ Nationalsozialistische Deutsche Arbeiterpartei “ . Die Freiheit
70,18. Ausgabe 1930-1.txt,nationalsozialistischen,"Stirn , Thüringen gegenüber von einer nationalsozialistischen Parteipolitik in den 
 Ministerien zu"
71,18. Ausgabe 1931.txt,Nationalsozialisten,"Parlamentarismus stirbt . Der Auszug der Nationalsozialisten und der 
 Deutschnationalen war das"
72,18. Ausgabe 1931.txt,Nationalsozialisten,", Jungdo und die Sturmabteilungen der Nationalsozialisten 
 stehen in Front , jeden"
73,18. Ausgabe 1931.txt,nationalsozialistischen,"in Lingen und Umgegend 
 stattfindenden nationalsozialistischen Versammlungen . S. Inserat . Wir"
74,18. Ausgabe 1931.txt,Nationalsozialisten,", dann „ Die Wahldemagogie der Nationalsozialisten “ und die 

 „ General-Anzeiger-Demagogie"
75,19. Ausgabe 1931-1.txt,Nationalsozialisten,"hörten eben , 
 daß 107 Nationalsozialisten aus dem Reichstag hinausmarschiert sind ,"
76,19. Ausgabe 1931-1.txt,Nationalsozialisten,"Vor der Entscheidung Der Auszug der Nationalsozialisten und Deutschnationalen aus dem 
 Reichstag"
77,21. Ausgabe 1931-1.txt,nationalsozialistischen,"Wahrheit “ ) , das im nationalsozialistischen Sinne 
 geschrieben war . Die"
78,21. Ausgabe 1931-1.txt,nationalsozialistische,"nicht mehr , auch nicht die nationalsozialistische . Ein 
 großes Verdienst haben"
79,21. Ausgabe 1931-1.txt,Nationalsozialisten,"Ein 
 großes Verdienst haben die Nationalsozialisten : Die Aufrüttelung des abendländisch-deutschen 
"
80,21. Ausgabe 1931-1.txt,Nationalsozialisten,"Zentralismus jeder Art . Daß die Nationalsozialisten 
 aus ihrer Bewegung heraustraten und"
81,21. Ausgabe 1931-1.txt,Nationalsozialisten,"dahin zurückzukehren . Daß die 
 Nationalsozialisten ihre eigene Aufgabe nicht begriffen haben"
82,22. Ausgabe 1930.txt,nationalsozialistische,"Nigger-Gigologie 
 Herr Frick , der nationalsozialistische Minister im Thüringer Lande , ist"
83,22. Ausgabe 1930.txt,nationalsozialistischer,"ein Hohn , daß nun ein nationalsozialistischer 
 Minister mit Hilfe der Polizei"
84,22. Ausgabe 1931-1.txt,nationalsozialistischen,"eines Landjägers befohlen , aus der nationalsozialistischen 
 Partei auszutreten . Als sie"
85,22. Ausgabe 1931-1.txt,Nationalsozialisten,"noch , daß die Versammlungen der Nationalsozialisten in Bawinkel , Messingen und 
"
86,22. Ausgabe 1931-1.txt,Nationalsozialisten,"Schriftleiter Aug. Bönisch wegen Beleidigung der Nationalsozialisten im 
 Vergleichsverfahren verurteilt , die"
87,22. Ausgabe 1931-1.txt,Nationalsozialistische,"Klublokale in 
 Lingen über die Nationalsozialistische Deutsche Arbeiterpartei aufgestellten Behauptungen 
 hiermit"
88,23. Ausgabe 1930.txt,Nationalsozialistischen,"nicht 
 bestreiten : Aus der Nationalsozialistischen Deutschen Arbeiterpartei ist eine Massenbewegung 
"
89,23. Ausgabe 1930.txt,nationalsozialistischen,". Das muß zur Beschlossenheit der nationalsozialistischen Bewegung , aber 
 auch zu"
90,23. Ausgabe 1931-1.txt,nationalsozialistischen,"Beweis dafür , daß sich die nationalsozialistischen Gedanken und Parolen 
 zwangsläufig durchsetzen"
91,25. Ausgabe 1930.txt,Nationalsozialistischer,"und Riegel 
 abzufangen . 
 Nationalsozialistischer Kirchenrat Bei den Kirchenratswahlen in Edewecht"
92,25. Ausgabe 1930.txt,nationalsozialistische,". Im Wahlgang wurde die 
 nationalsozialistische Liste mit Mehrheit gewählt , so"
93,25. Ausgabe 1930.txt,Nationalsozialisten,"von Edewecht jetzt nur 
 aus Nationalsozialisten besteht . 
 Ein Verschönerungsverein wünscht"
94,25_26 Ausgabe 1931.txt,Nationalsozialisten,"finden . Der überraschende Erfolg der Nationalsozialisten einerseits , die große 
 Widerstandskraft"
95,25_26 Ausgabe 1931.txt,Nationalsozialist,"Tobak eine Rolle spielen . 
 Nationalsozialist Präsident des Danziger Volkstages 
 Am"
96,25_26 Ausgabe 1931.txt,Nationalsozialisten,"34 Stimmen der 
 Bürgerlichen und Nationalsozialisten gegen 7 Stimmen der Kommunisten der"
97,26. Ausgabe 1930.txt,Nationalsozialisten,"Händen und Füßen ; denn die Nationalsozialisten haben ungeheuren Zulauf , wie die"
98,26. Ausgabe 1930.txt,Nationalsozialisten,"Freien Presse “ gegen die 
 Nationalsozialisten . Die Ausgabe vom letzten Mittwoch"
99,26. Ausgabe 1930.txt,nationalsozialistischer,des Zweiten . “ Auch ein nationalsozialistischer Stadtverordneter hat zu dieser Festivität als
100,26. Ausgabe 1930.txt,Nationalsozialisten,"ausgesucht werden , um einen 
 Nationalsozialisten , wie Dr. Goebbels in Berlin"
101,27_28. Ausgabe 1931.txt,Nationalsozialisten,", in welcher Form die 
 Nationalsozialisten durch Lug und Trug angegriffen werden"
102,29. Ausgabe 1931.txt,nationalsozialistischen,"Berlin zu verantworten . In einer nationalsozialistischen 
 Versammlung hatte er in einer"
103,30. Ausgaabe 1930.txt,Nationalsozialisten,"Börsen-Umsatzsteuer erhöhen würden ? 
 Die Nationalsozialisten haben eine solche Erhöhung schon wiederholt"
104,30. Ausgaabe 1930.txt,Nationalsozialist,"der Haushaltsberatungen im Reichstag hielt der Nationalsozialist Feder eine Rede , 
 deren"
105,30. Ausgaabe 1930.txt,Nationalsozialisten,", also auf ein für einen Nationalsozialisten gewiß 
 unverdächtiges Zeugnis . Danach"
106,30. Ausgaabe 1930.txt,nationalsozialistischer,"abgelehnt hat , wenn von 
 nationalsozialistischer Seite diesbezügliche Anträge gestellt worden sind"
107,30. Ausgabe 1931.txt,Nationalsozialistischen,"
 die Meinung der Parteileitung der Nationalsozialistischen Deutschen Arbeiterpartei ausgegeben 
 wird ,"
108,31. Ausgabe 1930.txt,Nationalsozialisten,"auch der Opposition mit Ausnahme der Nationalsozialisten wird besondere Freude an 
 Neuwahlen"
109,31. Ausgabe 1930.txt,Nationalsozialisten,". Einzig und allein die 
 Nationalsozialisten und Kommunisten , also die schärfste"
110,31. Ausgabe 1930.txt,Nationalsozialisten,"im Vogtlande , gehen die 
 Nationalsozialisten mit einem erheblichen Plus in den"
111,31. Ausgabe 1930.txt,Nationalsozialisten,"Werte , 
 auf die die Nationalsozialisten mit Stolz hinweisen . Das sind"
112,31. Ausgabe 1930.txt,Nationalsozialisten,"erheblichen Teil ihrer Wähler an die Nationalsozialisten abgeben 
 müssen . Der Wahlkampf"
113,32. Ausgabe 1930.txt,Nationalsozialisten,"Augen auf ! Wählt Liste 9 Nationalsozialisten . “ 
 Seite 2 
"
114,32. Ausgabe 1931.txt,Nationalsozialisten,"Die rechtsstehenden 
 Verbände und die Nationalsozialisten konnten gegenüber dem Vorjahr die Stimmen"
115,32. Ausgabe 1931.txt,nationalsozialistischer,"Schattierungen , mit Ausnahme 
 verschiedener nationalsozialistischer Zeitungen , hat hier auf diesen"
116,33. Ausgabe 1930.txt,nationalsozialistischen,"Dr. Sperling hat in der letzten nationalsozialistischen Versammlung eine böse 
 Abfuhr erlitten"
117,33. Ausgabe 1930.txt,Nationalsozialisten,"
 ● Wählt die Liste der Nationalsozialisten ! 
 ● Dr. Schierbaum's Stadt-Wächter-Tropfen"
118,33. Ausgabe 1931.txt,nationalsozialistisch-antisemitischer,"Judentum sind die Folgen einer von nationalsozialistisch-antisemitischer Seite 
 systematisch betriebenen Wort- und"
119,34. Ausgabe 1930.txt,Nationalsozialisten,"zu einem 
 Republikschutzgesetz-Prozeß gegen den Nationalsozialisten Gengler . Der Verteidiger , R.-A."
120,34. Ausgabe 1930.txt,nationalsozialistischen,"„ Erfolge “ feiern – wir nationalsozialistischen Juristen treten geschlossen in täglich 
"
121,34. Ausgabe 1930.txt,nationalsozialistische,recht : Heil Hitler ! Der nationalsozialistische deutsche Juristenbund . R.-A. Dr. Hans
122,34. Ausgabe 1930.txt,Nationalsozialisten,"
 Heidelberg , bei denen die Nationalsozialisten zehn Sitze gewannen , zeigte ,"
123,34. Ausgabe 1930.txt,Nationalsozialistische,"nur die Deutschnationale Volkspartei und die Nationalsozialistische Deutsche 
 Arbeiterpartei ( Hitlerbewegung )"
124,36. Ausgabe 1930.txt,Nationalsozialistische,"Teufel jagt . 

 Wie die Nationalsozialistische Deutsche Arbeiterpartei mitteilt , spricht am"
125,36. Ausgabe 1930.txt,Nationalsozialist,". Ich will hier nicht als Nationalsozialist 
 sprechen , denn es ist"
126,36. Ausgabe 1930.txt,nationalsozialistische,"sprechen , denn es ist keine nationalsozialistische Versammlung . Aber auch wir kämpfen"
127,36. Ausgabe 1930.txt,Nationalsozialisten,"in diesen Tagen dauernd über uns Nationalsozialisten alles Schöne lesen : Wir 
"
128,36. Ausgabe 1930.txt,Nationalsozialisten,in einer Notzeit ! Aber wir Nationalsozialisten sind nicht der Ansicht wie Herr
129,37. Ausgabe 1930.txt,Nationalsozialisten,"Stimme geben . Wählt Liste 9 Nationalsozialisten . Trotz vielen 
 Frechheiten bedeutet"
130,37. Ausgabe 1930.txt,Nationalsozialist,"Gesundheitspflege und Leibesübungen beantragt der 
 Nationalsozialist Dr. Marxer als Sachverständiger , von"
131,37. Ausgabe 1930.txt,Nationalsozialisten,"wie sie zu Dutzenden über die Nationalsozialisten von den Gegenparteien in 
 die"
132,37. Ausgabe 1930.txt,Nationalsozialistische,"werden . Im Gegenteil , die Nationalsozialistische Deutsche Arbeiterpartei 
 will die Geistlichkeit"
133,37. Ausgabe 1930.txt,Nationalsozialisten,"der Wahl den Spitzenkandidaten der 
 Nationalsozialisten Pg . Carl Röver-Oldenburg hören !"
134,38. Ausgabe 1930.txt,Nationalsozialistische,"mit dem Ziel , die gesamte Nationalsozialistische Partei zu 
 verbieten , anscheinend"
135,38. Ausgabe 1930.txt,Nationalsozialistische,"Meldungen 
 und Behauptungen über die Nationalsozialistische Deutsche Arbeiterpartei und ihre Führer 
"
136,38. Ausgabe 1930.txt,Nationalsozialisten,"

 Lingen . Die Versammlung der Nationalsozialisten am 9. September im Saale des"
137,38. Ausgabe 1930.txt,Nationalsozialistische,"Frage : Liste 9 
 – Nationalsozialistische Deutsche Arbeiter-Partei ( Hitlerbewegung ) ("
138,38. Ausgabe 1930.txt,Nationalsozialistische,"! 
 Nur Liste 9 – Nationalsozialistische Deutsche Arbeiter-Partei ( Hitlerbewegung ) 
"
139,39. Ausgabe 1930.txt,Nationalsozialisten,"“ Stimmungsberichtes von der Siegesfeier der Nationalsozialisten im Berliner 
 Sportpalast werden die"
